,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,0.748201438848921,0.748201438848921,0.748201438848921,0.7362110311750599,0.7266187050359711,0.7314148681055156
CinCECGTorso,0.004106280193236715,0.004106280193236715,0.042995169082125605,0.008454106280193236,0.005072463768115942,0.0033816425120772944
DiatomSizeReduction,0.05773420479302832,0.013071895424836602,0.018518518518518517,0.00980392156862745,0.0,0.0
MiddlePhalanxOutlineAgeGroup,0.1774891774891775,0.1774891774891775,0.16233766233766234,0.1645021645021645,0.18831168831168832,0.183982683982684
Haptics,0.1461038961038961,0.1461038961038961,0.16125541125541126,0.13636363636363635,0.14069264069264067,0.1385281385281385
Lightning2,0.7704918032786884,0.7868852459016393,0.7814207650273225,0.7923497267759562,0.7814207650273225,0.7540983606557377
MedicalImages,0.056578947368421055,0.0574561403508772,0.04035087719298246,0.09429824561403509,0.07192982456140351,0.08903508771929824
MiddlePhalanxTW,0.017316017316017316,0.021645021645021644,0.030303030303030304,0.015151515151515152,0.01948051948051948,0.030303030303030304
InsectEPGRegularTrain,0.0,0.0,0.0,0.0,0.0,0.0
Mallat,0.0,0.00028429282160625445,0.00014214641080312722,0.00014214641080312722,0.00014214641080312722,0.00028429282160625445
DistalPhalanxTW,0.0,0.0,0.007194244604316547,0.0,0.007194244604316547,0.007194244604316547
Lightning7,0.776255707762557,0.776255707762557,0.7990867579908675,0.8082191780821918,0.776255707762557,0.7853881278538813
CBF,0.0022222222222222222,0.0025925925925925925,0.001851851851851852,0.007407407407407408,0.004074074074074074,0.002962962962962963
Herring,0.4010416666666667,0.4583333333333333,0.421875,0.3802083333333333,0.4322916666666667,0.4270833333333333
HandOutlines,0.9207207207207208,0.918918918918919,0.9207207207207208,0.9216216216216216,0.9198198198198199,0.9135135135135135
DistalPhalanxOutlineAgeGroup,0.17505995203836933,0.1750599520383693,0.19904076738609114,0.18465227817745802,0.19184652278177458,0.2278177458033573
OliveOil,0.03333333333333333,0.0,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.011111111111111112
DistalPhalanxOutlineCorrect,0.7681159420289855,0.7644927536231884,0.7693236714975845,0.7789855072463768,0.7777777777777777,0.7693236714975845
FacesUCR,0.02048780487804878,0.019837398373983742,0.021463414634146343,0.015121951219512195,0.01886178861788618,0.01983739837398374
FiftyWords,0.013186813186813187,0.009523809523809523,0.007326007326007325,0.0036630036630036626,0.0,0.0
ECGFiveDays,0.04103755323267518,0.0313588850174216,0.046457607433217196,0.05536198219125049,0.03948896631823461,0.04142469996128533
FaceFour,0.007575757575757576,0.01893939393939394,0.007575757575757576,0.011363636363636362,0.011363636363636362,0.01893939393939394
MiddlePhalanxOutlineCorrect,0.8178694158075602,0.8109965635738833,0.8018327605956471,0.8213058419243987,0.8006872852233679,0.7961053837342497
ECG200,0.86,0.8633333333333333,0.8666666666666667,0.88,0.87,0.8533333333333334
InsectEPGSmallTrain,0.0,0.0,0.0,0.0,0.0,0.0
InlineSkate,0.12,0.12363636363636364,0.12181818181818181,0.1290909090909091,0.11757575757575757,0.1206060606060606
ChlorineConcentration,0.10321180555555555,0.10520833333333333,0.10529513888888888,0.10121527777777778,0.11276041666666668,0.12204861111111111
ECG5000,0.01785185185185185,0.015925925925925927,0.01651851851851852,0.006370370370370371,0.015185185185185185,0.01562962962962963
