,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0.85596708 0.        ],[0.85596708 0.        ],[0.85596708 0.        ],[0.84806191 0.        ],[0.84165326 0.        ],[0.84487091 0.        ]
CinCECGTorso,[0.         0.00493827 0.         0.01143683],[0.         0.00395649 0.         0.0123933 ],[0.         0.0029762  0.         0.16207126],[0.00094967 0.00198118 0.         0.03017901],[0.         0.00495149 0.         0.0152355 ],[0.         0.00296887 0.         0.01046678]
DiatomSizeReduction,[0.         0.13839865 0.01195399 0.03305785],[0.         0.01039868 0.00358423 0.04358257],[0.         0.01045303 0.00730599 0.06486581],[0.         0.0035461  0.         0.04258406],[0. 0. 0. 0.],[0. 0. 0. 0.]
MiddlePhalanxOutlineAgeGroup,[0.1642544  0.22628848 0.08086308],[0.14429243 0.24132409 0.07187666],[0.11688559 0.23659955 0.04741779],[0.14135564 0.2328465  0.02469136],[0.19379393 0.23300081 0.06062209],[0.21699529 0.21344859 0.02614379]
Haptics,[0.         0.14670364 0.06650406 0.19821937 0.25563599],[0.         0.14774068 0.06778471 0.20035741 0.25283703],[0.         0.19319339 0.07353613 0.21167435 0.25357363],[0.         0.17188865 0.069086   0.16096689 0.24174267],[0.         0.16363356 0.07161125 0.17766109 0.24514472],[0.01608527 0.14683828 0.06501776 0.18126252 0.24172322]
Lightning2,[0.7469697  0.78998945],[0.76094276 0.80772608],[0.75600449 0.80201932],[0.76802254 0.81191539],[0.75544393 0.80225355],[0.71335269 0.78467909]
MedicalImages,"[0.         0.15364382 0.02597695 0.         0.         0.
 0.         0.         0.0671827  0.07999892]","[0.         0.12568696 0.03520468 0.         0.         0.
 0.         0.         0.05400635 0.09541562]","[0.         0.12456235 0.03520468 0.         0.         0.
 0.         0.         0.04560645 0.05579057]","[0.00396825 0.17389195 0.0536706  0.         0.         0.01976285
 0.         0.13557342 0.20945804 0.02934994]","[0.         0.1380149  0.04981953 0.         0.         0.
 0.         0.         0.16117161 0.04196594]","[0.         0.15910461 0.04514814 0.         0.         0.
 0.         0.         0.2181304  0.03260325]"
MiddlePhalanxTW,[0.         0.05884861 0.         0.03511204 0.         0.        ],[0.         0.05217895 0.         0.07975223 0.         0.        ],[0.01851852 0.05493295 0.         0.14326974 0.         0.        ],[0.         0.04137138 0.         0.05270655 0.         0.        ],[0.         0.04482727 0.         0.07476314 0.         0.        ],[0.04150702 0.03925926 0.         0.08893458 0.04112317 0.        ]
InsectEPGRegularTrain,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
Mallat,[0. 0. 0. 0. 0. 0. 0. 0.],"[0.         0.         0.         0.         0.         0.
 0.         0.00218943]","[0.         0.         0.         0.         0.         0.
 0.         0.00109469]","[0.         0.         0.         0.         0.         0.
 0.         0.00107527]","[0.         0.         0.         0.         0.         0.
 0.         0.00109469]","[0.         0.         0.         0.         0.         0.
 0.         0.00219479]"
DistalPhalanxTW,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0.        0.        0.        0.0667161 0.        0.       ],[0. 0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.08574879 0.        ],[0.         0.         0.         0.         0.07699905 0.        ]
Lightning7,"[0.8453159  0.40909091 0.83333333 0.73684211 0.82352941 0.77429346
 0.85714286]","[0.8453159  0.45454545 0.82222222 0.71345029 0.79901961 0.79055362
 0.85714286]","[0.88888889 0.5        0.85858586 0.73684211 0.82352941 0.8097561
 0.85714286]","[0.91746032 0.53846154 0.86324786 0.7793831  0.76906318 0.80683761
 0.87263058]","[0.88888889 0.45454545 0.7979798  0.70116959 0.7745098  0.79349593
 0.85714286]","[0.8453159  0.52380952 0.83333333 0.73684211 0.82352941 0.78323952
 0.85714286]"
CBF,[0.         0.         0.00667795],[0.00110558 0.         0.00667043],[0.00110558 0.         0.00445931],[0.         0.         0.02182303],[0.00111111 0.         0.01114491],[0.00110193 0.         0.00777072]
Herring,[0.44979634 0.3417541 ],[0.49573664 0.41447018],[0.46845695 0.3653753 ],[0.40730794 0.34961505],[0.45212304 0.41051374],[0.42682896 0.42715456]
HandOutlines,[0.88600097 0.93922802],[0.88432596 0.93758337],[0.88630491 0.93914246],[0.88801984 0.93971165],[0.88688721 0.93789893],[0.87969583 0.93248885]
DistalPhalanxOutlineAgeGroup,[0.10666667 0.30166876 0.        ],[0.10714715 0.29751682 0.        ],[0.13966735 0.33080296 0.        ],[0.13136326 0.30465892 0.        ],[0.12377052 0.31876851 0.        ],[0.19324895 0.34867238 0.        ]
OliveOil,[0.         0.13333333 0.         0.        ],[0. 0. 0. 0.],[0.         0.21111111 0.         0.03508772],[0.04444444 0.04761905 0.         0.        ],[0.         0.         0.         0.07017544],[0.         0.         0.         0.03508772]
DistalPhalanxOutlineCorrect,[0.7009754  0.81062312],[0.69767013 0.80712055],[0.70748901 0.80957375],[0.71971763 0.81755676],[0.72777075 0.81225996],[0.72672871 0.80040879]
FacesUCR,"[0.         0.         0.         0.01553886 0.0251584  0.12910053
 0.         0.04627572 0.         0.         0.         0.
 0.0303511  0.        ]","[0.         0.         0.         0.0325768  0.02553301 0.12999607
 0.         0.0380941  0.         0.         0.         0.
 0.01605234 0.        ]","[0.         0.         0.         0.01178784 0.02726608 0.14688576
 0.         0.04639783 0.         0.         0.         0.
 0.02672494 0.        ]","[0.         0.         0.         0.01206295 0.03255649 0.09422186
 0.         0.02409382 0.         0.03387763 0.00980392 0.
 0.00193798 0.        ]","[0.         0.         0.         0.02315525 0.02518702 0.13484491
 0.         0.03227038 0.         0.00401606 0.         0.00352734
 0.01123637 0.        ]","[0.         0.         0.         0.02858392 0.02735375 0.13898746
 0.         0.03696561 0.         0.         0.         0.00175439
 0.01130021 0.        ]"
