,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0. 0.],[0. 0.],[0. 0.],[0. 0.],[0. 0.],[0. 0.]
CinCECGTorso,[0.         0.05545969 0.         0.08209372],[0.         0.05076011 0.         0.08811671],[0.         0.0446464  0.         0.34070792],[0.01457813 0.02104653 0.         0.12888146],[0.         0.05554091 0.         0.09882718],[0.         0.04459384 0.         0.06631298]
DiatomSizeReduction,[0.         0.28249784 0.0856156  0.20374995],[0.         0.07585528 0.02656377 0.23387324],[0.         0.07618533 0.05389033 0.28788878],[0.         0.02575849 0.         0.18954441],[0. 0. 0. 0.],[0. 0. 0. 0.]
MiddlePhalanxOutlineAgeGroup,[0.28708934 0.35497955 0.22952525],[0.26998909 0.35065952 0.21529751],[0.24336732 0.32988886 0.17235885],[0.2638035  0.3419093  0.10182997],[0.316459   0.35637958 0.19466987],[0.33437259 0.32946585 0.10333123]
Haptics,[0.         0.35282919 0.22660778 0.3991664  0.45488257],[0.         0.35406586 0.22823714 0.40109636 0.45384939],[0.         0.4092461  0.23724638 0.41444202 0.45162515],[0.         0.37970917 0.22997019 0.3551953  0.44241396],[0.         0.37152054 0.2349162  0.37330249 0.44696227],[0.08322799 0.35142986 0.22257367 0.37795972 0.44540585]
Lightning2,[0.76741197 0.76741197],[0.7818667 0.7818667],[0.77705656 0.77705656],[0.78787737 0.78787737],[0.77674904 0.77674904],[0.74304718 0.74304718]
MedicalImages,"[0.         0.3402047  0.17135126 0.         0.         0.
 0.         0.         0.18574724 0.31433272]","[0.         0.31068537 0.19525315 0.         0.         0.
 0.         0.         0.16616675 0.34516866]","[0.         0.31053455 0.19525315 0.         0.         0.
 0.         0.         0.15168941 0.26263788]","[0.04308161 0.38892833 0.25886718 0.         0.         0.11678501
 0.         0.32423103 0.34053958 0.20022328]","[0.         0.33876286 0.2419134  0.         0.         0.
 0.         0.         0.29395474 0.23823747]","[0.         0.3659061  0.24042999 0.         0.         0.
 0.         0.         0.3474717  0.2127952 ]"
MiddlePhalanxTW,[0.         0.36722901 0.         0.12697928 0.         0.        ],[0.         0.33777482 0.         0.23409076 0.         0.        ],[0.0916828  0.34428307 0.         0.31302471 0.         0.        ],[0.         0.30080411 0.         0.19046719 0.         0.        ],[0.         0.3083913  0.         0.23703108 0.         0.        ],[0.18602362 0.28126428 0.         0.25705361 0.14821924 0.        ]
InsectEPGRegularTrain,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
Mallat,[0. 0. 0. 0. 0. 0. 0. 0.],"[0.         0.         0.         0.         0.         0.
 0.         0.03578096]","[0.         0.         0.         0.         0.         0.
 0.         0.01789049]","[0.         0.         0.         0.         0.         0.
 0.         0.01783375]","[0.         0.         0.         0.         0.         0.
 0.         0.01789049]","[0.         0.         0.         0.         0.         0.
 0.         0.03579642]"
