,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,0.0,0.0,0.0,-0.06318940177883242,-0.0853701980429938,-0.07544857641062049
CinCECGTorso,-0.3279186167568005,-0.327923596684474,-0.2762901890998488,-0.3221735696265216,-0.3266490799164175,-0.328893756540324
DiatomSizeReduction,-0.26178428058599446,-0.31954158958599654,-0.31024537716147066,-0.320974935953739,0.0,0.0
MiddlePhalanxOutlineAgeGroup,-0.1405332380306014,-0.12987417164343612,-0.14963413712368134,-0.16628608965529856,-0.1233216960593669,-0.14923456134193
Haptics,-0.0733777010995249,-0.07276809959966866,-0.05382805891638251,-0.08329182024454412,-0.0781789606793278,-0.08047829544704226
Lightning2,0.5372390917184705,0.5699816341920655,0.558872999299005,0.5813855011953682,0.5590882493106205,0.5037527531588738
MedicalImages,-0.07097098118357985,-0.06345680989699821,-0.08942171379119902,-0.0242542908701735,-0.06412802306767086,-0.04863900917056626
MiddlePhalanxTW,-0.14002289999876505,-0.13723625449638707,-0.12430376717537066,-0.1473792028508111,-0.1428183046576701,-0.1365323564259309
InsectEPGRegularTrain,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
Mallat,-0.1431081420116783,-0.14256269130910273,-0.14272268624713716,-0.14288693745206402,-0.14272737709914782,-0.14255714320084742
DistalPhalanxTW,-0.32196614950917546,-0.33085220872870297,-0.2987366888625131,-0.333408667099155,-0.29972431452100773,-0.27754903885910553
Lightning7,0.7403526744932627,0.7409743979393685,0.7670860660968573,0.7758600694527235,0.7412100840247516,0.750310248919604
CBF,-0.49667210660175076,-0.4961054453608358,-0.49721532807422536,-0.48897171818806084,-0.49388920991084406,-0.49556272939741075
Herring,-0.14261282127710165,-0.02378635359910088,-0.09569778232760716,-0.19801370181576586,-0.0913492807681751,-0.11458876892972902
HandOutlines,0.8264617650324421,0.822643152499808,0.8264732280049746,0.828525812729521,0.8250228243916126,0.8122157369569529
DistalPhalanxOutlineAgeGroup,-0.2540522931557503,-0.2626315155826857,-0.21910339930501643,-0.24563338607079388,-0.2426218274842653,-0.19313452268382844
OliveOil,-0.22736981830994818,-0.2816478067951786,-0.17160088746628607,-0.2525991045988291,-0.24726860299361295,-0.26445820489439575
DistalPhalanxOutlineCorrect,0.517237805481479,0.5096575667361453,0.5203617389777243,0.5406331371875154,0.5405151532635835,0.5274222659456461
FacesUCR,-0.052606800260481534,-0.05334860116179293,-0.05138436924155961,-0.05844857327972239,-0.05522618413880904,-0.05406579601036985
FiftyWords,-0.03178362990406274,-0.03568289632513041,-0.03749047714499774,-0.034285612532163,0.0,0.0
ECGFiveDays,-0.9179687070957661,-0.9373022587615649,-0.9071125077764491,-0.8896083470734936,-0.9210313186099018,-0.9175543248428385
FaceFour,-0.33087532769479366,-0.31651650850737906,-0.3344210376710877,-0.3229018333657993,-0.3301141200333318,-0.3196076117369148
MiddlePhalanxOutlineCorrect,0.6264657567071661,0.6121776597012957,0.5934642458305193,0.633466522902909,0.5916734258124655,0.5843354218841424
ECG200,0.6910084970538293,0.6985054382639371,0.706364456117648,0.742070871788702,0.7144475768519194,0.67988099135509
InsectEPGSmallTrain,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
InlineSkate,-0.027933669635949104,-0.024058850612992063,-0.026192984103973402,-0.014974159771075414,-0.029773384616072898,-0.02634720082469685
ChlorineConcentration,-0.31367474909393983,-0.3102571996370607,-0.30973867158960994,-0.31703823165196376,-0.29384369797245996,-0.2783674945608415
ECG5000,-0.398582936062247,-0.39996123541531553,-0.39946557778447245,-0.403064270666939,-0.39712010582167023,-0.39630659599121687
