,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0.74820144 0.        ],[0.74820144 0.        ],[0.74820144 0.        ],[0.74514264 0.        ],[0.74263778 0.        ],[0.74389938 0.        ]
CinCECGTorso,[0.         0.00502008 0.         0.01144527],[0.         0.00402823 0.         0.01240587],[0.         0.00303957 0.         0.15774444],[0.00092593 0.0020202  0.         0.02988866],[0.         0.00504749 0.         0.01523315],[0.         0.00302439 0.         0.0104576 ]
DiatomSizeReduction,[0.         0.12437343 0.01245624 0.02272727],[0.         0.01016972 0.003367   0.0298377 ],[0.         0.01027421 0.00698099 0.04428164],[0.         0.0035461  0.         0.02891016],[0. 0. 0. 0.],[0. 0. 0. 0.]
MiddlePhalanxOutlineAgeGroup,[0.42315789 0.14235528 0.11269841],[0.4245614  0.15048225 0.10740741],[0.40952381 0.146809   0.06939571],[0.378474   0.1452879  0.03921569],[0.4870328  0.14612681 0.09282192],[0.48051282 0.13371472 0.04761905]
Haptics,[0.         0.12624414 0.06118496 0.17792341 0.26164568],[0.         0.12788683 0.06340043 0.18134921 0.25579839],[0.         0.1658046  0.06958633 0.18704284 0.26353574],[0.         0.15555556 0.06567597 0.14967799 0.24495567],[0.         0.14590496 0.06616617 0.16758573 0.24585687],[0.02705628 0.12956349 0.06254178 0.17016517 0.23911007]
Lightning2,[0.75617284 0.78223411],[0.78537512 0.78823529],[0.77492877 0.78655462],[0.78783069 0.79669241],[0.77449735 0.78743316],[0.76722222 0.7454955 ]
MedicalImages,"[0.         0.21361674 0.02222954 0.         0.         0.
 0.         0.         0.4015873  0.04662772]","[0.         0.17016317 0.03047921 0.         0.         0.
 0.         0.         0.3952381  0.05555775]","[0.         0.16558442 0.03047921 0.         0.         0.
 0.         0.         0.29531537 0.03268203]","[0.00282486 0.1908137  0.04248558 0.         0.         0.01829574
 0.         0.17386415 0.66043441 0.01896013]","[0.         0.16269841 0.04144069 0.         0.         0.
 0.         0.         0.54450299 0.02519431]","[0.         0.18429563 0.03536155 0.         0.         0.
 0.         0.         0.60694912 0.02008351]"
MiddlePhalanxTW,[0.         0.03391747 0.         0.0515873  0.         0.        ],[0.         0.03039683 0.         0.09926471 0.         0.        ],[0.01333333 0.0322626  0.         0.22407407 0.         0.        ],[0.         0.02404582 0.         0.07792208 0.         0.        ],[0.         0.02641026 0.         0.08518519 0.         0.        ],[0.03185185 0.02392529 0.         0.10134863 0.23333333 0.        ]
InsectEPGRegularTrain,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
Mallat,[0. 0. 0. 0. 0. 0. 0. 0.],"[0.         0.         0.         0.         0.         0.
 0.         0.00211659]","[0.        0.        0.        0.        0.        0.        0.
 0.0010582]","[0.         0.         0.         0.         0.         0.
 0.         0.00102249]","[0.        0.        0.        0.        0.        0.        0.
 0.0010582]","[0.         0.         0.         0.         0.         0.
 0.         0.00212653]"
DistalPhalanxTW,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0.         0.         0.         0.08372183 0.         0.        ],[0. 0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.23333333 0.        ],[0.         0.         0.         0.         0.14484127 0.        ]
Lightning7,"[1.         1.         0.83333333 0.58333333 1.         0.71673254
 0.75      ]","[1.         1.         0.88888889 0.55555556 1.         0.73188406
 0.75      ]","[1.         1.         0.88888889 0.58333333 1.         0.76551227
 0.75      ]","[0.9030303  1.         0.84126984 0.63989899 0.91071429 0.77460317
 0.81221001]","[1.         1.         0.82222222 0.54059829 1.         0.75036075
 0.75      ]","[1.         0.93333333 0.83333333 0.58333333 1.         0.7463925
 0.75      ]"
CBF,[0.         0.         0.00668957],[0.0010929 0.        0.0066743],[0.0010929  0.         0.00447427],[0.         0.         0.02143958],[0.00110375 0.         0.01117967],[0.00108578 0.         0.00776434]
