,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,0.7505995203836932,0.6163069544364509,0.2517985611510791,0.2517985611510791,0.6642685851318945,0.6618705035971223
CinCECGTorso,0.7509661835748792,0.7381642512077295,0.363768115942029,0.28381642512077293,0.7316425120772947,0.7584541062801932
DiatomSizeReduction,0.9553376906318083,0.9629629629629629,0.46187363834422657,0.09694989106753811,0.0,0.0
MiddlePhalanxOutlineAgeGroup,0.5844155844155844,0.5779220779220778,0.5952380952380952,0.27272727272727276,0.5800865800865801,0.5844155844155844
Haptics,0.44588744588744583,0.41991341991341996,0.27164502164502163,0.20887445887445888,0.4264069264069264,0.4307359307359307
Lightning2,0.7103825136612022,0.7158469945355191,0.45901639344262296,0.45901639344262296,0.73224043715847,0.726775956284153
MedicalImages,0.5745614035087719,0.5114035087719299,0.14342105263157895,0.28333333333333327,0.48991228070175435,0.47719298245614034
MiddlePhalanxTW,0.5822510822510822,0.4696969696969697,0.09523809523809523,0.09307359307359309,0.4632034632034632,0.45021645021645024
InsectEPGRegularTrain,1.0,1.0,0.5261044176706827,0.5261044176706827,1.0,1.0
Mallat,0.9142857142857143,0.9314854299928927,0.7681592039800994,0.13333333333333333,0.9103056147832267,0.9206823027718549
DistalPhalanxTW,0.6738609112709831,0.5803357314148682,0.13908872901678657,0.21103117505995206,0.5971223021582733,0.6019184652278177
Lightning7,0.6803652968036529,0.6164383561643836,0.37442922374429227,0.3515981735159817,0.6438356164383562,0.6073059360730594
CBF,0.9348148148148149,0.9518518518518518,0.5633333333333334,0.4314814814814814,0.9551851851851852,0.9566666666666667
Herring,0.5625,0.6510416666666666,0.40625,0.40625,0.5416666666666666,0.5677083333333334
HandOutlines,0.9036036036036036,0.8882882882882882,0.3594594594594594,0.3594594594594594,0.890990990990991,0.8648648648648649
DistalPhalanxOutlineAgeGroup,0.7362110311750599,0.6954436450839329,0.3357314148681055,0.26139088729016785,0.6858513189448442,0.6738609112709831
OliveOil,0.4000000000000001,0.4666666666666666,0.13333333333333333,0.2111111111111111,0.38888888888888884,0.4444444444444445
DistalPhalanxOutlineCorrect,0.7101449275362319,0.6847826086956522,0.4166666666666667,0.4166666666666667,0.6823671497584541,0.6509661835748792
FacesUCR,0.824390243902439,0.7959349593495935,0.36731707317073176,0.1546341463414634,0.8102439024390243,0.7790243902439024
FiftyWords,0.6285714285714286,0.6351648351648351,0.2153846153846154,0.284981684981685,0.0,0.0
ECGFiveDays,0.9771583430120016,0.9825783972125436,0.502903600464576,0.502903600464576,0.9732868757259001,0.9899341850561362
FaceFour,0.9053030303030303,0.9204545454545454,0.5454545454545454,0.25757575757575757,0.912878787878788,0.9166666666666666
MiddlePhalanxOutlineCorrect,0.563573883161512,0.4822451317296678,0.42955326460481097,0.42955326460481097,0.4398625429553265,0.4536082474226804
ECG200,0.8066666666666666,0.8166666666666665,0.36000000000000004,0.36000000000000004,0.8166666666666668,0.8066666666666666
InsectEPGSmallTrain,1.0,1.0,0.5261044176706827,0.5261044176706827,1.0,1.0
InlineSkate,0.32181818181818184,0.31757575757575757,0.11818181818181818,0.13999999999999999,0.3115151515151515,0.3290909090909091
ChlorineConcentration,0.5347222222222222,0.34157986111111116,0.2259548611111111,0.24427083333333335,0.3303819444444444,0.2701388888888889
ECG5000,0.9342222222222224,0.8883703703703704,0.26459259259259255,0.1517037037037037,0.9016296296296296,0.8988148148148148
