,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0.8571461  0.01851852],[0.73689371 0.28678539],[0.         0.40229885],[0.         0.40229885],[0.779806   0.29190386],[0.76994169 0.35596708]
CinCECGTorso,[0.79648082 0.77235485 0.80994102 0.55737844],[0.7622585  0.74406413 0.82302869 0.55977797],[0.         0.45293559 0.26252006 0.44317202],[0.         0.00578035 0.28655231 0.40169233],[0.74895956 0.73742492 0.8259223  0.54492975],[0.78327935 0.74325407 0.82849616 0.63077362]
DiatomSizeReduction,[0.971837   0.98046801 0.96312576 0.78490566],[0.97699726 0.98221261 0.96846679 0.83521303],[0.         0.46585518 0.5143108  0.87448707],[0.         0.         0.         0.17890084],[0. 0. 0. 0.],[0. 0. 0. 0.]
MiddlePhalanxOutlineAgeGroup,[0.70494237 0.39445799 0.33110958],[0.6840216  0.40385507 0.45033847],[0.73657612 0.         0.29075215],[0.12179487 0.         0.38854095],[0.68924307 0.40385507 0.44668459],[0.68831269 0.40385507 0.4667121 ]
Haptics,[0.52702132 0.47872515 0.49352724 0.46769305 0.21012277],[0.52886137 0.39539131 0.47198967 0.45345851 0.23412863],[0.28846069 0.1077767  0.         0.39029764 0.23951419],[0.14177265 0.21336009 0.         0.07650377 0.29947378],[0.53298738 0.4143811  0.47735121 0.43158329 0.25821881],[0.55009186 0.43611172 0.49504672 0.43807717 0.22421657]
Lightning2,[0.65359477 0.75117371],[0.67077891 0.75003451],[0.62921348 0.        ],[0.62921348 0.        ],[0.70236231 0.75610969],[0.69872439 0.74949753]
MedicalImages,"[0.02222222 0.35997096 0.05103884 0.77912886 0.7491854  0.55969267
 0.         0.04729345 0.71104607 0.        ]","[0.49224489 0.58932731 0.45772825 0.67562885 0.77817818 0.7051918
 0.45452649 0.28067698 0.55348463 0.4156208 ]","[0.05912492 0.30847999 0.16068211 0.54227605 0.23992458 0.41928865
 0.15093737 0.14547508 0.         0.17011114]","[0.43347243 0.53363532 0.27854829 0.55911667 0.40861361 0.59284301
 0.22430873 0.19978912 0.         0.33481048]","[0.4709231  0.56892756 0.49589311 0.66245421 0.75225225 0.67879499
 0.41548896 0.29436694 0.50868205 0.39697445]","[0.46630358 0.578038   0.42116024 0.65592834 0.77894737 0.52014652
 0.39826087 0.27485162 0.50843125 0.40630566]"
MiddlePhalanxTW,[0.1468599  0.         0.97674419 0.45483288 0.54314772 0.34146429],[0.14249775 0.         0.947664   0.46944799 0.34274556 0.17721961],[0.02777778 0.06000302 0.         0.19259259 0.11789895 0.03508772],[0.07360783 0.04358118 0.         0.         0.         0.16996234],[0.12506334 0.         0.92021687 0.47606262 0.35186228 0.1577381 ],[0.1653491  0.         0.94554235 0.45807504 0.20108101 0.16624632]
InsectEPGRegularTrain,[1. 1. 1.],[1. 1. 1.],[0.         0.41584158 1.        ],[0.         0.41584158 1.        ],[1. 1. 1.],[1. 1. 1.]
Mallat,"[1.         0.87515262 0.81896898 0.8361052  0.98562124 1.
 0.96718702 0.82596259]","[1.         0.92864606 0.81941822 0.93201751 0.97596512 1.
 0.9750566  0.82088241]","[0.86284288 0.89670015 0.         0.78494074 0.95394948 0.94798896
 0.61606958 0.67770194]","[0.         0.09444444 0.         0.07627498 0.13297027 0.
 0.         0.07617567]","[1.         0.86357622 0.82620316 0.8333292  0.9862069  1.
 0.95986708 0.81480096]","[1.         0.89324012 0.82235041 0.85812257 0.9850396  1.
 0.97164798 0.82726582]"
DistalPhalanxTW,[0.1855363  0.13333333 0.96185998 0.75712555 0.         0.67311724],[0.20522273 0.1668599  0.95820272 0.75247413 0.26190476 0.45984307],[0.08092439 0.24568668 0.         0.16709356 0.10998878 0.26162132],[0.41128362 0.04037644 0.         0.37588933 0.10071155 0.01666667],[0.2020202  0.16927536 0.96185998 0.71429121 0.28241437 0.53849638],[0.1847637  0.2871037  0.96185998 0.74524525 0.31834776 0.50496007]
Lightning7,"[0.87830688 0.17676768 0.75091575 0.60869565 0.3968254  0.7457265
 0.82526116]","[0.86315789 0.15018315 0.62663399 0.61791831 0.34798535 0.58851059
 0.8357075 ]","[0.59444444 0.19354839 0.58959695 0.38299794 0.46666667 0.
 0.50537634]","[0.39267735 0.18683761 0.48994143 0.19907407 0.28888889 0.
 0.63296581]","[0.90150376 0.20683761 0.65277778 0.59307359 0.4984127  0.59025833
 0.84615385]","[0.85844156 0.14444444 0.64856712 0.57142857 0.48452381 0.52413536
 0.8357075 ]"
CBF,[0.99441278 0.90200137 0.9081448 ],[0.99497487 0.92925818 0.93146172],[0.         0.82685177 0.58264164],[0.         0.6012657  0.34189434],[0.99608969 0.93427867 0.93545207],[0.99609157 0.93646259 0.93768843]
