,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0.05634362 0.05634362],[0.46831243 0.46831243],[0. 0.],[0. 0.],[0.46724814 0.46724814],[0.52940753 0.52940753]
CinCECGTorso,[0.88553473 0.84058981 0.91264682 0.62861644],[0.86411675 0.82148079 0.91717865 0.63311381],[0.         0.54265688 0.38919559 0.38864124],[0.         0.03117398 0.42783048 0.39851407],[0.85707437 0.81512948 0.91976565 0.61983514],[0.87225717 0.81932322 0.91806209 0.69313273]
DiatomSizeReduction,[0.98745969 0.98540744 0.98465924 0.8038307 ],[0.98982298 0.98618796 0.98697701 0.84681761],[0.         0.55156711 0.49950491 0.88165409],[0.         0.         0.         0.06579517],[0. 0. 0. 0.],[0. 0. 0. 0.]
MiddlePhalanxOutlineAgeGroup,[0.54152196 0.53972413 0.49146282],[0.63100255 0.5110944  0.62994482],[0.36630595 0.         0.43086569],[0.19360964 0.         0.17314221],[0.63508139 0.5110944  0.62668546],[0.64011408 0.5110944  0.64478299]
Haptics,[0.68788692 0.65872105 0.66338491 0.63750599 0.39073472],[0.68822276 0.57348293 0.64006482 0.626189   0.43313312],[0.49950715 0.2599954  0.         0.55539818 0.40082045],[0.23811068 0.3795822  0.         0.17448379 0.42769959],[0.68984021 0.5891578  0.6560666  0.60098813 0.45279198],[0.69537568 0.60943286 0.66891919 0.60769176 0.42319559]
Lightning2,[0.69353206 0.69353206],[0.70498238 0.70498238],[0. 0.],[0. 0.],[0.72713929 0.72713929],[0.7224795 0.7224795]
MedicalImages,"[0.06629002 0.55011978 0.14173575 0.95490012 0.86319333 0.64553402
 0.         0.1284831  0.51699332 0.        ]","[0.66772668 0.8093422  0.75322757 0.97650403 0.93163474 0.84275783
 0.80297846 0.59156282 0.61683941 0.72558891]","[0.34452155 0.53492852 0.42096129 0.7344034  0.65805677 0.75391875
 0.60447368 0.38179574 0.         0.42523801]","[0.61745992 0.79199139 0.61555059 0.94896165 0.95901927 0.88026733
 0.85552032 0.42079041 0.         0.68953151]","[0.65139161 0.81721094 0.75684587 0.97088751 0.93079201 0.85294724
 0.76898891 0.61075748 0.58185192 0.70983187]","[0.63465834 0.82156386 0.71854492 0.94882422 0.93163445 0.80624424
 0.71026615 0.60161941 0.58119773 0.70092148]"
MiddlePhalanxTW,[0.37128381 0.         0.99103121 0.58490615 0.6745247  0.53339093],[0.46534996 0.         0.9628323  0.67050182 0.49212135 0.31507415],[0.09619445 0.37001131 0.         0.44177518 0.25437783 0.09329002],[0.2871982  0.22480629 0.         0.         0.         0.13633095],[0.43728701 0.         0.95386715 0.67289711 0.49443984 0.28763118],[0.49365441 0.         0.96672582 0.69734234 0.32729061 0.32840942]
InsectEPGRegularTrain,[1. 1. 1.],[1. 1. 1.],[0.         0.65570702 1.        ],[0.         0.65570702 1.        ],[1. 1. 1.],[1. 1. 1.]
Mallat,"[1.         0.97840435 0.92106805 0.85119093 0.98572445 1.
 0.97684436 0.87183412]","[1.         0.98879503 0.90369115 0.93468215 0.97636106 1.
 0.98806711 0.88535792]","[0.97681261 0.96474413 0.         0.90055856 0.97277298 0.96171484
 0.66824802 0.92897063]","[0.         0.13832358 0.         0.03738712 0.25122527 0.
 0.         0.05979541]","[1.         0.97706275 0.95418551 0.84526586 0.98630072 1.
 0.96254668 0.84219385]","[1.         0.98135248 0.9221549  0.87245661 0.98515018 1.
 0.98202228 0.87148988]"
