,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,0.04891272397206692,0.026636243845334185,0.0,0.0,0.07366845505622951,0.12932507982482402
CinCECGTorso,0.6837141937330409,0.6645838093082777,0.27977871068859334,0.08036323069398145,0.6573421991156144,0.6888599275093078
DiatomSizeReduction,0.9391414197143991,0.9493805291240611,0.4021412857033462,-0.08854092850910768,0.0,0.0
MiddlePhalanxOutlineAgeGroup,0.2190904703981207,0.274987245583622,0.17100351847341974,0.033618844576766484,0.2764440050112371,0.289560518348936
Haptics,0.3076251665453262,0.27421399910043415,0.09733555444401933,0.02161057107007608,0.28263377223038444,0.2877568977398289
Lightning2,0.4146950456618285,0.4252772909936213,0.0,0.0,0.4607321791502184,0.45005693837163524
MedicalImages,0.30298487993083684,0.43840217147836347,0.108497397727214,0.2880941963543909,0.4186425807594638,0.39972232284834236
MiddlePhalanxTW,0.4621232502783938,0.35080421476968954,-0.034630877902907954,-0.004471619528084235,0.34411462346656546,0.34902435147479355
InsectEPGRegularTrain,1.0,1.0,0.5436895868482859,0.5436895868482859,1.0,1.0
Mallat,0.9042955740290332,0.9221753477862181,0.7509236083586529,0.03295048366539413,0.9003975687052805,0.9114407188159236
DistalPhalanxTW,0.5879611173670138,0.48284812308064745,0.026741652294088647,0.1536515023828254,0.5021956324416147,0.5111005032354684
Lightning7,0.6318596392538344,0.5585498893992294,0.30585547334577184,0.2932228959919612,0.5880301488526706,0.5467926240775514
CBF,0.9048049647077695,0.929530363371684,0.43530468602035927,0.19082781276240368,0.9338994403588967,0.9361711762738386
Herring,0.08561892860330994,0.2867643082852531,0.0,0.0,0.06950012509891386,0.1374422623237563
HandOutlines,0.7912673820237975,0.7665579447433511,0.0,0.0,0.7687662386427232,0.730503143247944
DistalPhalanxOutlineAgeGroup,0.5638359872926081,0.5324368785047987,0.16765482879904395,0.12521677601441294,0.519750427633102,0.49931890999635753
OliveOil,0.0,0.33224039224628543,0.0,0.0,0.2696499232861582,0.16889635298842878
DistalPhalanxOutlineCorrect,0.4017937572356955,0.34887702725566805,0.0,0.0,0.33822387221171296,0.2995885654011366
FacesUCR,0.8088842151271337,0.7789810423259982,0.3352273876812064,0.1089723839190921,0.7933529570699981,0.7595713146400516
FiftyWords,0.611893951946891,0.6188905902951517,0.2016143057965838,0.2777196593087987,0.0,0.0
ECGFiveDays,0.9543883008253871,0.9654585015449197,0.0,0.0,0.9465900030391725,0.979981938492911
FaceFour,0.8749503001026676,0.8949579831932774,0.462718011060076,-0.040080861596841405,0.884790649427719,0.8903132030762236
MiddlePhalanxOutlineCorrect,0.014602801603918998,-0.07780827915167575,0.0,0.0,-0.19133961789994625,-0.16347885647517668
ECG200,0.5732982036931271,0.5999403916076038,0.0,0.0,0.5961608309981815,0.5823578363560458
InsectEPGSmallTrain,1.0,1.0,0.5436895868482859,0.5436895868482859,1.0,1.0
InlineSkate,0.20093709459141543,0.19568557569829267,0.0005844857532275423,0.03052301147680608,0.1916756782483556,0.21130697517964736
ChlorineConcentration,0.03187882841766743,0.05557283910335295,-0.015731484522377163,0.03910149778364186,0.06411911051495178,0.03800721441786812
ECG5000,0.8741504249816785,0.7984707531248262,0.28645554387776656,0.15054589025574538,0.8187990346660197,0.8147569871913767
