,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0.75000869 0.33333333],[0.75442105 0.27286618],[0.         0.25179856],[0.         0.25179856],[0.76555481 0.31088664],[0.78202966 0.34585497]
CinCECGTorso,[0.72781687 0.78744496 0.69451001 0.91896904],[0.68594471 0.75677944 0.71953937 0.89352216],[0.         0.9715294  0.97539567 0.28505224],[0.         0.33333333 0.39153602 0.26832202],[0.6661284  0.75561557 0.72093879 0.90705432],[0.72562075 0.7615241  0.73188581 0.89658989]
DiatomSizeReduction,[0.94522758 0.98223137 0.92891907 1.        ],[0.95504009 0.98573934 0.93887331 1.        ],[0.         0.98850575 0.3461845  1.        ],[0.         0.         0.         0.09934134],[0. 0. 0. 0.],[0. 0. 0. 0.]
MiddlePhalanxOutlineAgeGroup,[0.62939894 0.54313725 0.42288839],[0.6876042  0.88888889 0.36991972],[0.59821685 0.         0.55681818],[0.47222222 0.         0.24417216],[0.68966758 0.88888889 0.3683414 ],[0.69497408 0.88888889 0.38073357]
Haptics,[0.51996883 0.45293921 0.46929735 0.44944491 0.27013908],[0.52543665 0.41981722 0.46578233 0.43581081 0.241122  ],[0.26963835 0.2037769  0.         0.26242841 0.39872923],[0.21060606 0.25315754 0.         0.14430894 0.19341652],[0.53236944 0.43624682 0.44072092 0.43756272 0.2686737 ],[0.56770429 0.449851   0.45983958 0.43887871 0.23249704]
Lightning2,[0.72463768 0.70175439],[0.71611111 0.71571572],[0.45901639 0.        ],[0.45901639 0.        ],[0.71692308 0.7464243 ],[0.7091358  0.74295453]
MedicalImages,"[0.06666667 0.42812347 0.15740741 0.67342089 0.74934641 0.84822775
 0.         0.17777778 0.57921494 0.        ]","[0.53085594 0.51876372 0.37287879 0.51037334 0.70116959 0.69065657
 0.35126437 0.21639776 0.89047081 0.31179251]","[0.03514908 0.3175631  0.14108187 0.53312136 0.16330712 0.3228051
 0.09278194 0.13557157 0.         0.14236126]","[0.48571429 0.44585325 0.21200768 0.39252995 0.25819896 0.46908289
 0.12919658 0.21565224 0.         0.22891434]","[0.50862332 0.47651076 0.42597799 0.49765355 0.6622807  0.62751196
 0.31497211 0.22492751 0.85886527 0.2966181 ]","[0.53606238 0.4869281  0.34518353 0.50295398 0.70334928 0.42255248
 0.32390873 0.20378182 0.84486916 0.31547449]"
MiddlePhalanxTW,[0.14387464 0.         0.95454545 0.62878788 0.45688122 0.38018926],[0.09773425 0.         0.95189823 0.42847542 0.42524866 0.18589744],[0.02564103 0.03468441 0.         0.13333333 0.51322751 0.04444444],[0.04363144 0.02402287 0.         0.         0.         0.1979317 ],[0.08448773 0.         0.8907215  0.43960386 0.48042929 0.2008547 ],[0.11615268 0.         0.93158607 0.36559256 0.49603175 0.14186328]
InsectEPGRegularTrain,[1. 1. 1.],[1. 1. 1.],[0.     0.2625 1.    ],[0.     0.2625 1.    ],[1. 1. 1.],[1. 1. 1.]
Mallat,"[1.         0.7836196  0.76723921 1.         1.         1.
 0.97895992 0.89202439]","[1.         0.86786909 0.79813616 1.         1.         1.
 0.96981559 0.8412427 ]","[0.76045598 0.84538668 0.         0.73206257 0.95566166 0.96779719
 0.99295775 0.51282529]","[0.         0.25757576 0.         0.04305626 0.08312057 0.
 0.         0.04300132]","[1.         0.76007399 0.72578093 1.         1.         1.
 0.99521933 0.95087483]","[1.         0.81551601 0.77202431 1.         1.         1.
 0.9768644  0.89671815]"
