,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[1.         0.00952381],[0.72115385 0.3047619 ],[0. 1.],[0. 1.],[0.79487179 0.27619048],[0.75961538 0.37142857]
CinCECGTorso,[0.88011696 0.75801749 0.97198068 0.4       ],[0.85769981 0.73177843 0.96135266 0.40761905],[0.         0.29543246 0.15169082 0.9952381 ],[0.         0.00291545 0.28599034 0.83428571],[0.85575049 0.72011662 0.96714976 0.38952381],[0.85185185 0.72594752 0.95942029 0.50095238]
DiatomSizeReduction,[1.         0.9787234  1.         0.64646465],[1.         0.9787234  1.         0.71717172],[0.         0.30496454 1.         0.77777778],[0.        0.        0.        0.8989899],[0. 0. 0. 0.],[0. 0. 0. 0.]
MiddlePhalanxOutlineAgeGroup,[0.8030303  0.31034483 0.27927928],[0.68181818 0.26436782 0.57657658],[0.95833333 0.         0.1981982 ],[0.07575758 0.         0.95495495],[0.68939394 0.26436782 0.56756757],[0.68181818 0.26436782 0.6036036 ]
Haptics,[0.53448276 0.50847458 0.52083333 0.48756219 0.17222222],[0.53448276 0.37853107 0.47916667 0.47263682 0.22777778],[0.31034483 0.07344633 0.         0.76119403 0.17222222],[0.11494253 0.18644068 0.         0.07960199 0.68888889],[0.53448276 0.39548023 0.52083333 0.4278607  0.25      ],[0.53448276 0.42372881 0.53645833 0.43781095 0.21666667]
Lightning2,[0.5952381  0.80808081],[0.63095238 0.78787879],[1. 0.],[1. 0.],[0.69047619 0.76767677],[0.69047619 0.75757576]
MedicalImages,"[0.01333333 0.31333333 0.03125    0.93333333 0.75       0.41935484
 0.         0.02777778 0.92071611 0.        ]","[0.46       0.68666667 0.59375    1.         0.875      0.72043011
 0.66666667 0.4        0.40153453 0.62337662]","[0.18666667 0.3        0.1875     0.55238095 0.45833333 0.60215054
 0.40740741 0.16111111 0.         0.21212121]","[0.39333333 0.66666667 0.40625    0.97142857 0.97916667 0.80645161
 0.85185185 0.18888889 0.         0.62337662]","[0.44       0.70666667 0.59375    0.99047619 0.875      0.74193548
 0.61111111 0.42777778 0.36146633 0.6017316 ]","[0.41333333 0.71333333 0.54166667 0.94285714 0.875      0.67741935
 0.51851852 0.42222222 0.36402387 0.57142857]"
MiddlePhalanxTW,[0.15151515 0.         1.         0.36       0.67424242 0.31884058],[0.27272727 0.         0.94444444 0.52       0.28787879 0.17391304],[0.03030303 0.22222222 0.         0.34666667 0.06818182 0.02898551],[0.27272727 0.25925926 0.         0.         0.         0.39130435],[0.24242424 0.         0.95238095 0.52       0.28030303 0.14492754],[0.3030303  0.         0.96031746 0.61333333 0.12878788 0.20289855]
InsectEPGRegularTrain,[1. 1. 1.],[1. 1. 1.],[0. 1. 1.],[0. 1. 1.],[1. 1. 1.],[1. 1. 1.]
Mallat,"[1.         1.         0.88350634 0.73378076 0.97165533 1.
 0.95790671 0.77097506]","[1.         1.         0.84198385 0.87472036 0.95351474 1.
 0.98065984 0.8015873 ]","[1.         0.95464853 0.         0.85123043 0.95238095 0.92898053
 0.44709898 0.99886621]","[0.         0.05782313 0.         0.33557047 0.33219955 0.
 0.         0.33333333]","[1.         1.         0.95963091 0.7147651  0.97278912 1.
 0.92718999 0.71315193]","[1.         1.         0.88465975 0.77516779 0.97052154 1.
 0.96814562 0.76984127]"
