,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,0.6930455635491607,0.7290167865707434,0.2517985611510791,0.2517985611510791,0.709832134292566,0.6786570743405277
CinCECGTorso,0.8550724637681159,0.8193236714975844,0.2492753623188406,0.2806763285024155,0.8287439613526569,0.8256038647342995
DiatomSizeReduction,0.26361655773420484,0.943355119825708,0.4215686274509804,0.25816993464052285,0.0,0.0
MiddlePhalanxOutlineAgeGroup,0.5194805194805195,0.4978354978354978,0.6082251082251083,0.5432900432900433,0.49567099567099565,0.5238095238095238
Haptics,0.44805194805194803,0.4534632034632035,0.2705627705627705,0.20346320346320346,0.4556277056277056,0.4491341991341991
Lightning2,0.7103825136612022,0.6939890710382514,0.45901639344262296,0.45901639344262296,0.6721311475409836,0.6994535519125683
MedicalImages,0.7109649122807018,0.7017543859649122,0.19429824561403508,0.3723684210526315,0.6934210526315789,0.688157894736842
MiddlePhalanxTW,0.538961038961039,0.5584415584415585,0.12121212121212122,0.21645021645021645,0.5194805194805193,0.5173160173160173
InsectEPGRegularTrain,1.0,0.9879518072289156,0.5261044176706827,0.5261044176706827,0.9785809906291835,0.9866131191432396
Mallat,0.834825870646766,0.8262970859985787,0.7195451314854301,0.16062544420753377,0.8117981520966596,0.8221748400852879
DistalPhalanxTW,0.6354916067146283,0.6091127098321344,0.13429256594724218,0.2278177458033573,0.5851318944844125,0.6211031175059952
Lightning7,0.593607305936073,0.5707762557077625,0.37442922374429227,0.2876712328767123,0.6073059360730594,0.5525114155251142
CBF,0.8537037037037036,0.8551851851851852,0.43703703703703706,0.4596296296296296,0.8414814814814814,0.8748148148148148
Herring,0.546875,0.5572916666666666,0.421875,0.4947916666666667,0.546875,0.546875
HandOutlines,0.8936936936936938,0.8846846846846846,0.3594594594594594,0.3594594594594594,0.9090090090090089,0.8990990990990991
DistalPhalanxOutlineAgeGroup,0.6762589928057553,0.7386091127098321,0.2925659472422062,0.4580335731414868,0.685851318944844,0.6882494004796164
OliveOil,0.5,0.43333333333333335,0.3666666666666667,0.19999999999999998,0.6444444444444444,0.7222222222222222
DistalPhalanxOutlineCorrect,0.7342995169082126,0.7270531400966185,0.4166666666666667,0.4166666666666667,0.7113526570048309,0.7222222222222222
FacesUCR,0.8229268292682926,0.7795121951219514,0.21528455284552847,0.1375609756097561,0.759349593495935,0.7642276422764228
FiftyWords,0.69010989010989,0.6849816849816849,0.21465201465201464,0.25860805860805863,0.0,0.0
ECGFiveDays,0.9399922570654278,0.9578010065814944,0.502903600464576,0.502903600464576,0.9655439411536971,0.9961285327138986
FaceFour,0.8787878787878789,0.8522727272727272,0.5113636363636364,0.3143939393939394,0.8863636363636364,0.8560606060606061
MiddlePhalanxOutlineCorrect,0.7743413516609393,0.7903780068728522,0.42955326460481097,0.42955326460481097,0.7846506300114547,0.7766323024054983
ECG200,0.9133333333333334,0.9166666666666666,0.36000000000000004,0.36000000000000004,0.9066666666666667,0.8933333333333334
InsectEPGSmallTrain,0.5582329317269076,0.9879518072289156,0.5261044176706827,0.5261044176706827,0.9665327978580991,1.0
InlineSkate,0.3303030303030303,0.3303030303030303,0.1715151515151515,0.1709090909090909,0.3369696969696969,0.336969696969697
ChlorineConcentration,0.9188368055555557,0.9115451388888888,0.23203125000000002,0.24383680555555554,0.9036458333333334,0.9203125
ECG5000,0.932074074074074,0.9331111111111111,0.29,0.2011111111111111,0.932074074074074,0.9336296296296297
