,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0.81343908 0.12955975],[0.84196155 0.04918699],[0.         0.40229885],[0.         0.40229885],[0.82348    0.17060708],[0.79727644 0.22192354]
CinCECGTorso,[0.86470026 0.86812339 0.89162031 0.77999747],[0.81753901 0.8347962  0.88866043 0.70769021],[0.13970392 0.1415195  0.27899181 0.25218374],[0.19769619 0.18087852 0.23131116 0.17634137],[0.81513503 0.85316486 0.88840059 0.74147086],[0.82176777 0.83588634 0.87560974 0.75260883]
DiatomSizeReduction,[0.36992739 0.27905245 0.00757576 0.00328407],[0.95303851 0.94998019 0.96490632 0.82847474],[0.         0.26330796 0.62596983 0.4171866 ],[0.         0.         0.36066237 0.23275399],[0. 0. 0. 0.],[0. 0. 0. 0.]
MiddlePhalanxOutlineAgeGroup,[0.64003152 0.32701707 0.3408917 ],[0.62246239 0.34373959 0.28676587],[0.74976648 0.         0.29705753],[0.70101001 0.         0.26098237],[0.61843472 0.3316973  0.304495  ],[0.65034382 0.35275248 0.33029767]
Haptics,[0.49663993 0.44654861 0.52132854 0.47023116 0.2460414 ],[0.51987375 0.42435269 0.54655235 0.48138074 0.19410891],[0.27775207 0.13812128 0.         0.39999714 0.23487564],[0.10349707 0.11886312 0.         0.18962556 0.27812657],[0.50964417 0.43668259 0.54919153 0.50250627 0.17979041],[0.50534844 0.42502196 0.51718113 0.50307085 0.1914308 ]
Lightning2,[0.67946307 0.73506574],[0.66239316 0.71852354],[0.62921348 0.        ],[0.62921348 0.        ],[0.63844326 0.69799119],[0.62815801 0.74642144]
MedicalImages,"[0.42068851 0.68334277 0.61616536 0.8450951  0.8713352  0.82573331
 0.68965517 0.41863584 0.78616579 0.69485785]","[0.45592593 0.70690024 0.59171891 0.79431946 0.88582375 0.76088297
 0.64493882 0.42729942 0.77970223 0.65887855]","[0.32784378 0.29020673 0.05914181 0.53030303 0.34393234 0.21180915
 0.21448198 0.2158411  0.         0.17785982]","[0.46353311 0.60628309 0.30870582 0.64778581 0.62572464 0.67539061
 0.67189922 0.32706382 0.         0.56089245]","[0.46675941 0.69804444 0.57929293 0.73851001 0.82689076 0.74542125
 0.61694478 0.43622206 0.76848407 0.66001808]","[0.42927517 0.69300296 0.49044746 0.78311    0.87356322 0.7105401
 0.651341   0.43255012 0.76050727 0.69218066]"
MiddlePhalanxTW,[0.1551388  0.0957265  0.98057456 0.36765957 0.50719975 0.25489305],[0.21869926 0.15445665 0.98440492 0.45072889 0.4947387  0.30580531],[0.02150538 0.07192229 0.         0.21867494 0.20372426 0.03706564],[0.02564103 0.10375646 0.         0.13675214 0.42502042 0.06222222],[0.16075036 0.13921569 0.97683224 0.34052832 0.45418026 0.28829138],[0.11199295 0.16759259 0.98440492 0.39744193 0.44667756 0.24710411]
InsectEPGRegularTrain,[1. 1. 1.],[0.99308437 0.96375144 0.99233716],[0.         0.41584158 1.        ],[0.         0.41584158 1.        ],[0.98890027 0.93722821 0.98447154],[0.99859353 0.96376812 0.98224852]
Mallat,"[0.9891932  0.74659371 0.76729436 0.52732453 0.99321224 0.99771687
 0.88663622 0.7219386 ]","[0.9881517  0.72049367 0.75976325 0.41764106 0.98826262 0.99942824
 0.89836996 0.73962419]","[0.81375569 0.73538695 0.         0.72324306 0.89697272 0.76934965
 0.81227995 0.66480213]","[0.         0.         0.         0.24035754 0.28228621 0.
 0.         0.        ]","[0.98641555 0.71065234 0.73887671 0.36846941 0.98988147 0.99714905
 0.89847289 0.68089902]","[0.98528195 0.71596565 0.7552586  0.40016056 0.98879902 0.99658313
 0.89978559 0.72861537]"
