,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0.23762911 0.23762911],[0.133384 0.133384],[0. 0.],[0. 0.],[0.32566185 0.32566185],[0.39106872 0.39106872]
CinCECGTorso,[0.94031087 0.89711296 0.95264716 0.80258171],[0.92034022 0.86208552 0.95381907 0.74166162],[0.27497832 0.28914987 0.38933279 0.39883418],[0.29329614 0.25411557 0.37029132 0.31871554],[0.9150018  0.87677118 0.95040788 0.76973853],[0.91772395 0.86256075 0.94545276 0.77774267]
DiatomSizeReduction,[0.43268044 0.22205666 0.03573708 0.03581435],[0.97568982 0.95401218 0.98543184 0.86132053],[0.         0.3889752  0.72458859 0.78218725],[0.         0.         0.29139145 0.34585018],[0. 0. 0. 0.],[0. 0. 0. 0.]
MiddlePhalanxOutlineAgeGroup,[0.53411515 0.51172495 0.51169648],[0.51817708 0.52957743 0.46595799],[0.37950668 0.         0.43284047],[0.4788251  0.         0.42283092],[0.52268646 0.52248116 0.48193235],[0.56198713 0.52490815 0.5094402 ]
Haptics,[0.67944673 0.61528518 0.69385574 0.63346814 0.4221592 ],[0.69750088 0.60328391 0.72106013 0.64154917 0.36244762],[0.5020866  0.28486098 0.         0.5857756  0.41322914],[0.23424676 0.26461138 0.         0.30608137 0.41740216],[0.67944326 0.62262762 0.72511264 0.65631244 0.34934598],[0.68793033 0.60837188 0.6930841  0.66287269 0.35366718]
Lightning2,[0.70493987 0.70493987],[0.68789838 0.68789838],[0. 0.],[0. 0.],[0.66534572 0.66534572],[0.67380694 0.67380694]
MedicalImages,"[0.54527398 0.79712601 0.75698002 0.9361114  0.91144538 0.88880775
 0.74485356 0.72048679 0.78000119 0.81976611]","[0.57367676 0.79883209 0.7373953  0.90931176 0.90074846 0.79572621
 0.73145904 0.71658418 0.7713189  0.81886615]","[0.74070787 0.48616419 0.19947042 0.84905015 0.81666264 0.46309243
 0.71004068 0.57367822 0.         0.4658949 ]","[0.697683   0.87986421 0.78556183 0.95633395 0.95711936 0.94969851
 0.92417392 0.70160152 0.         0.85063171]","[0.58452403 0.79814683 0.68075146 0.87073284 0.88792747 0.7750264
 0.67983803 0.7212916  0.75508412 0.81921593]","[0.55662734 0.7939157  0.6407522  0.88402615 0.88940628 0.75390196
 0.71920358 0.72348695 0.74901306 0.84883546]"
MiddlePhalanxTW,[0.39793603 0.21913427 0.99252937 0.56203611 0.64322127 0.44227321],[0.49189017 0.32986567 0.99402754 0.60103631 0.63366917 0.49925403],[0.09358909 0.39211794 0.         0.47262966 0.34304651 0.13248869],[0.09545732 0.48489272 0.         0.22519969 0.56423931 0.17669514],[0.39757676 0.32791671 0.99102438 0.5341046  0.59795471 0.48207646],[0.32790188 0.37174277 0.99402754 0.60445164 0.58698471 0.44793327]
InsectEPGRegularTrain,[1. 1. 1.],[0.99357679 0.97629389 0.99242325],[0.         0.65570702 1.        ],[0.         0.65570702 1.        ],[0.98973789 0.96129265 0.98474502],[0.9987253  0.98876869 0.98269698]
Mallat,"[0.99551434 0.9400076  0.93536176 0.62140208 0.99610101 0.99918325
 0.89238931 0.77014385]","[0.99780422 0.93653676 0.931921   0.51600312 0.99683502 0.99991885
 0.90309684 0.78603406]","[0.91515174 0.8505415  0.         0.82869969 0.94130817 0.87787461
 0.82817831 0.92484768]","[0.         0.         0.         0.25948933 0.42872155 0.
 0.         0.        ]","[0.99560058 0.93410115 0.92730527 0.47897168 0.99659131 0.99959416
 0.90314907 0.73683428]","[0.9949474  0.93446873 0.92902169 0.50225333 0.99788805 0.99951295
 0.90437435 0.77833029]"
DistalPhalanxTW,[0.54828973 0.38903423 0.98441463 0.78363197 0.42910879 0.73856391],[0.50591718 0.34258593 0.98266455 0.75804162 0.3760775  0.71712602],[0.36286313 0.         0.         0.45893144 0.31949437 0.42503933],[0.09208244 0.581128   0.         0.79850603 0.16071235 0.3758365 ],[0.49622542 0.34117904 0.97916438 0.71844293 0.38006526 0.67796972],[0.50899729 0.23161811 0.97740486 0.73745462 0.42732106 0.72218451]
Lightning7,"[0.88251034 0.5605634  0.96196317 0.62764116 0.50330557 0.70730064
 0.86718431]","[0.80045365 0.48651271 0.93637602 0.75913641 0.28252171 0.71984814
 0.87204353]","[0.5615763  0.40729886 0.88871272 0.37315918 0.62402905 0.
 0.82191584]","[0.62955252 0.44764502 0.37312795 0.40135098 0.33985529 0.
 0.74842684]","[0.80851364 0.52509636 0.95404086 0.70385233 0.42713946 0.80371732
 0.82592554]","[0.78569607 0.52452644 0.8487643  0.71692024 0.39913859 0.74738554
 0.7831316 ]"
CBF,[0.98588284 0.79553777 0.87146264],[0.99693588 0.786125   0.87233857],[0.03336156 0.66844311 0.52858824],[0.         0.65666896 0.58379759],[0.9879427 0.7755418 0.8597052],[0.99248366 0.82187434 0.88911105]
Herring,[0.51665726 0.51665726],[0.49792413 0.49792413],[0.15146607 0.15146607],[0.13745322 0.13745322],[0.49774334 0.49774334],[0.46718766 0.46718766]
