,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,-0.024366333837188957,-0.023104783739353724,0.0,0.0,0.0452882112516776,0.034817566155774464
CinCECGTorso,0.8148066395827754,0.7741341775540401,0.006259309434398361,0.05287872506800805,0.7841154739930304,0.7799330205704801
DiatomSizeReduction,0.02577092735961568,0.9228388522735279,0.32004768658824584,0.08726932890081039,0.0,0.0
MiddlePhalanxOutlineAgeGroup,0.14080104479843183,0.10740955278757058,0.21866383170658987,0.11364349023417342,0.11299930231121953,0.15799577145203947
Haptics,0.31148256758554016,0.3193299665763796,0.09693237555110257,0.014109530712136541,0.32172843283794234,0.3138440833147663
Lightning2,0.41732810185258257,0.3854478374637656,0.0,0.0,0.3415991712886242,0.3957294563925176
MedicalImages,0.5910574328353203,0.5752839204803314,0.16763724772871144,0.39615190564817854,0.5586954815272642,0.5530801136773283
MiddlePhalanxTW,0.409141451428873,0.435569722685002,-0.00666296006589472,0.07023412555683901,0.38678720313555875,0.38921668673662646
InsectEPGRegularTrain,1.0,0.9808453851385716,0.5436895868482859,0.5436895868482859,0.9657112108774896,0.9791712803259903
Mallat,0.818699537604683,0.8119214224455584,0.6935616061659,0.06485599416721832,0.7968771977384087,0.8075032741473896
DistalPhalanxTW,0.5342835190013079,0.5037496705404404,0.016222578908328286,0.18756101351941554,0.470987392849427,0.5097853379554899
Lightning7,0.5203619514891532,0.494409041088461,0.31263838075952316,0.2035685338583371,0.5311512417771129,0.4713088560544925
CBF,0.793112431508369,0.7953109147383022,0.18130603010591853,0.22349935269851753,0.7755521980428872,0.8225793502848244
Herring,0.05502423604987047,0.053778138416136136,-0.010587115536905648,0.05052467618520773,0.03962287620438496,0.02154537197973107
HandOutlines,0.7668714344295716,0.746502341500408,0.0,0.0,0.8006082281060394,0.7788157257262854
DistalPhalanxOutlineAgeGroup,0.4623582787847389,0.5602942953198202,0.03268635258939672,0.20982782918867224,0.47199582636870474,0.4727748826027736
OliveOil,0.4336253457239478,0.26353551756281596,0.20296104425305747,0.0,0.565392657958523,0.6875360985031157
DistalPhalanxOutlineCorrect,0.44501341595975447,0.4296688568052874,0.0,0.0,0.39604883307299205,0.41972366900731073
FacesUCR,0.8072076689212948,0.7595143845172428,0.16513649554528623,0.08418422913757917,0.7374394164667574,0.7428558892472855
FiftyWords,0.6749375996506268,0.6697606680328763,0.19477754850709092,0.2504655372359667,0.0,0.0
ECGFiveDays,0.8853378288961998,0.9163345173127652,0.0,0.0,0.9325626702031588,0.9922902550388987
FaceFour,0.8411957397707912,0.8031656825919242,0.39865076477267397,0.08474057857315598,0.8502535230366185,0.8077375291387267
MiddlePhalanxOutlineCorrect,0.5357671253406607,0.570214102919205,0.0,0.0,0.5574108005453899,0.5416019193374894
ECG200,0.8107064100134691,0.8181395686816768,0.0,0.0,0.7955756283921797,0.7660898144871305
InsectEPGSmallTrain,0.3716383378395795,0.9809297624260199,0.5436895868482859,0.5436895868482859,0.9474623144451804,1.0
InlineSkate,0.21373938508065402,0.2123042682717677,0.04541004764583376,0.07528400424872755,0.21970897894125865,0.21828354069888253
ChlorineConcentration,0.8661732657195652,0.8538907944075852,-0.00454047562290866,0.04823538153518944,0.8408620815626054,0.8685678291733693
ECG5000,0.8718858693417192,0.8730935568282829,0.31010457373189204,0.20139184687515574,0.8710247836575694,0.8739526231496925
