,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0.74627093 0.2037037 ],[0.7469318  0.17777778],[0.         0.25179856],[0.         0.25179856],[0.75475993 0.31527778],[0.75403888 0.29044834]
CinCECGTorso,[0.77796313 0.91586231 0.81943514 0.98268073],[0.69882746 0.93054447 0.80834292 0.98833585],[0.16498851 0.41291132 0.35345551 0.27647316],[0.14796554 0.27036242 0.2247142  0.29926399],[0.70469643 0.93967385 0.81624507 0.98582247],[0.7166552  0.93188087 0.79363005 0.99374616]
DiatomSizeReduction,[0.32746452 0.26515873 0.33333333 0.00196078],[0.92023894 0.98924731 0.93223867 0.93548387],[0.         0.89393939 0.45560642 0.27918871],[0.         0.         0.25182359 0.45202401],[0. 0. 0. 0.],[0. 0. 0. 0.]
MiddlePhalanxOutlineAgeGroup,[0.60956522 0.36309524 0.3651611 ],[0.59695854 0.36975102 0.30861244],[0.60696347 0.         0.65740741],[0.61576334 0.         0.25653595],[0.60152856 0.35179861 0.32548282],[0.62885397 0.42361111 0.32841245]
Haptics,[0.45895882 0.46537629 0.47510557 0.46987456 0.32056244],[0.48034188 0.4288986  0.48000222 0.48245058 0.29691205],[0.23366517 0.42801932 0.         0.28572468 0.35606641],[0.10004456 0.31666667 0.         0.23607306 0.19523942],[0.49206349 0.41854621 0.47787006 0.50761461 0.27608101],[0.46274292 0.41749945 0.46463933 0.49075137 0.31651923]
Lightning2,[0.69567901 0.72490042],[0.67521368 0.71370878],[0.45901639 0.        ],[0.45901639 0.        ],[0.65202295 0.69324935],[0.72678602 0.68850789]
MedicalImages,"[0.70548654 0.72473505 0.65777778 0.80826981 0.92592593 0.85896126
 0.90909091 0.32825939 0.78740124 0.69555322]","[0.7230303  0.78353133 0.64308168 0.75818132 0.97435897 0.95151515
 0.80944056 0.34317603 0.77542823 0.61982768]","[0.21811589 0.36013828 0.10846561 0.40685386 0.22811659 0.20255517
 0.13393537 0.14571124 0.         0.13204842]","[0.42359075 0.47874061 0.19744497 0.48941799 0.46997549 0.52930283
 0.54958333 0.22523898 0.         0.42418478]","[0.73425926 0.75891083 0.7692029  0.7093679  0.87830688 0.98148148
 0.92962963 0.35253242 0.75262075 0.6204601 ]","[0.68198287 0.75562938 0.6066416  0.77773338 0.97435897 0.95071011
 0.88383838 0.34570264 0.74983156 0.63789194]"
MiddlePhalanxTW,[0.1412037  0.13888889 0.96194503 0.37636364 0.46876263 0.31666667],[0.18333333 0.26111111 0.96934461 0.55098605 0.45270028 0.34633459],[0.01666667 0.04291301 0.         0.14869281 0.64550265 0.0515873 ],[0.02222222 0.05953424 0.         0.10062893 0.38336713 0.08465608],[0.14766864 0.20833333 0.95487432 0.36413828 0.43336288 0.32759307],[0.10710784 0.1957672  0.96934461 0.37620895 0.46493657 0.26811594]
InsectEPGRegularTrain,[1. 1. 1.],[0.98644986 0.97101449 1.        ],[0.     0.2625 1.    ],[0.     0.2625 1.    ],[0.9781854  0.93863636 1.        ],[0.99719888 0.94       1.        ]
Mallat,"[0.98527594 0.60640149 0.64677222 0.80604633 0.99333333 0.99659864
 1.         0.91025688]","[0.97770245 0.56916208 0.63824683 0.95941204 0.9801967  0.99885845
 1.         0.90928714]","[0.77421784 0.71589815 0.         0.73225502 0.89591957 0.75255887
 0.9969419  0.49798623]","[0.         0.         0.         0.14059907 0.33477854 0.
 0.         0.        ]","[0.97868595 0.5565457  0.60912252 0.92393579 0.98445685 0.99432333
 1.         0.90258701]","[0.97753814 0.56421125 0.63447554 0.95825059 0.97897912 0.99320491
 1.         0.90266994]"
