Accuracy,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN,D
Earthquakes,"0,69","0,74","0,25","0,25","0,75","0,71","0,27"
CinCECGTorso,"0,78","0,78","0,29","0,25","0,77","0,80","0,17"
DiatomSizeReduction,"0,30","0,96","0,68","0,29","0,00","0,00","0,44"
MiddlePhalanxOutlineAgeGroup,"0,56","0,57","0,55","0,52","0,49","0,55","0,2"
Haptics,"0,46","0,52","0,23","0,27","0,51","0,50","0,062"
Lightning2,"0,79","0,78","0,46","0,46","0,75","0,74","0,18"
MedicalImages,"0,74","0,76","0,20","0,41","0,76","0,74","0,47"
MiddlePhalanxTW,"0,50","0,51","0,11","0,16","0,52","0,48","0,25"
InsectEPGRegularTrain,"1,00","1,00","0,41","0,49","1,00","1,00","0,2"
Mallat,"0,97","0,96","0,73","0,65","0,96","0,97","0,26"
DistalPhalanxTW,"0,68","0,67","0,16","0,29","0,67","0,65","0,35"
Lightning7,"0,70","0,69","0,43","0,51","0,63","0,81","0,28"
CBF,"1,00","1,00","0,48","0,58","0,99","1,00","0,11"
Herring,"0,60","0,59","0,41","0,41","0,61","0,64","0,12"
HandOutlines,"0,92","0,92","0,36","0,36","0,93","0,92","0,08"
DistalPhalanxOutlineAgeGroup,"0,71","0,72","0,35","0,44","0,69","0,70","0,26"
OliveOil,"0,72","0,88","0,19","0,18","0,84","0,78","0,34"
DistalPhalanxOutlineCorrect,"0,80","0,79","0,42","0,42","0,79","0,76","0,08"
FacesUCR,"0,95","0,95","0,53","0,65","0,95","0,95","0,3"
FiftyWords,"0,71","0,73","0,25","0,44","0,00","0,00","0,54"
ECGFiveDays,"0,99","0,99","0,50","0,50","1,00","0,99","0,16"
FaceFour,"0,95","0,95","0,42","0,42","0,95","0,95","0,34"
MiddlePhalanxOutlineCorrect,"0,82","0,80","0,43","0,43","0,81","0,82","0,1"
ECG200,"0,89","0,88","0,36","0,36","0,88","0,89","0,19"
InsectEPGSmallTrain,"0,17","0,42","0,53","0,53","0,57","0,22","0,3"
InlineSkate,"0,38","0,37","0,19","0,16","0,35","0,37","0,12"
ChlorineConcentration,"0,85","0,83","0,23","0,26","0,84","0,84","0,17"
ECG5000,"0,94","0,94","0,26","0,27","0,94","0,94","0,51"
