,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0.8        0.24529045],[0.84437262 0.11757106],[0.         0.40229885],[0.         0.40229885],[0.84942717 0.18463707],[0.82417226 0.14186784]
CinCECGTorso,[0.73290523 0.76293418 0.82471222 0.81138929],[0.722348   0.74821429 0.83606195 0.82254195],[0.         0.         0.18438252 0.4029623 ],[0.         0.         0.         0.40462428],[0.71210293 0.72837299 0.82744747 0.80244889],[0.75131283 0.76231716 0.85237913 0.824683  ]
DiatomSizeReduction,[0.46231156 0.         0.         0.        ],[0.96749915 0.95229928 1.         0.85919638],[0.         0.7048296  0.90317183 0.88070175],[0.         0.01149425 0.51222222 0.28904937],[0. 0. 0. 0.],[0. 0. 0. 0.]
MiddlePhalanxOutlineAgeGroup,[0.67251462 0.34850166 0.39792127],[0.68411398 0.35614035 0.33391799],[0.71640124 0.         0.32628558],[0.66931645 0.         0.37196545],[0.59492286 0.36417448 0.36351278],[0.65818601 0.36020583 0.40294332]
Haptics,[0.38533713 0.48807765 0.43370875 0.55184395 0.35519525],[0.54470862 0.51817602 0.50500037 0.57895267 0.39209236],[0.         0.01075269 0.         0.363961   0.2851733 ],[0.1957265  0.13390631 0.         0.35745911 0.32874262],[0.5271856  0.50462704 0.51226218 0.57059488 0.38821549],[0.5114445  0.52405572 0.48002664 0.56616354 0.38388483]
Lightning2,[0.77212476 0.79924099],[0.74195576 0.8015934 ],[0.62921348 0.        ],[0.62921348 0.        ],[0.71170921 0.77674479],[0.72397094 0.74987975]
MedicalImages,"[0.5447154  0.80371609 0.62169048 0.88629767 0.92776058 0.84863244
 0.71920996 0.46685746 0.80795337 0.67885875]","[0.55173189 0.83228886 0.68429526 0.92534421 0.96774194 0.85213047
 0.68100358 0.46175074 0.81611841 0.70928447]","[0.15361546 0.58114013 0.23274078 0.62201208 0.0475824  0.32439079
 0.31543412 0.18923002 0.         0.20604994]","[0.49209689 0.78497698 0.43743574 0.74035892 0.44467457 0.82431078
 0.69595784 0.35032452 0.         0.64782288]","[0.54400127 0.83015083 0.71373292 0.94640693 0.94171972 0.86770353
 0.65392857 0.48248807 0.81446463 0.72979724]","[0.53028078 0.74016763 0.77044778 0.88898724 0.96019014 0.89881694
 0.63798309 0.42901691 0.79763038 0.72975368]"
MiddlePhalanxTW,[0.05897436 0.04444444 0.95199381 0.43215552 0.38741597 0.31183898],[0.08342995 0.         0.95238095 0.46323391 0.44528733 0.27448908],[0.11549858 0.07500582 0.         0.09192426 0.22011981 0.15478424],[0.08458333 0.08054299 0.         0.34747475 0.08333333 0.17728758],[0.12652557 0.         0.97273142 0.4892041  0.44735104 0.24830918],[0.08145464 0.04761905 0.95648926 0.44831541 0.37666964 0.17467901]
InsectEPGRegularTrain,[1. 1. 1.],[1. 1. 1.],[0.         0.37344765 0.66666667],[0.         0.39185819 0.94339623],[1. 1. 1.],[1. 1. 1.]
Mallat,"[0.9988604  0.99887006 0.89053667 1.         0.99886234 1.
 0.99714709 0.87328603]","[0.98997345 0.99604803 0.87168772 0.99775531 0.99829642 1.
 0.98532555 0.8482842 ]","[0.85957535 0.83126839 0.         0.79760546 0.90468495 0.59074411
 0.83732869 0.6679478 ]","[0.56617971 0.79377493 0.         0.69540187 0.81556181 0.23892785
 0.73681303 0.69282523]","[0.99772274 0.98900024 0.88911355 0.97990159 0.99886428 0.99105304
 0.99771885 0.87036675]","[0.99715489 0.99548213 0.9012549  0.99607276 0.99886428 0.99942824
 0.99600163 0.88878824]"
DistalPhalanxTW,[0.34667108 0.12121212 0.96551724 0.77342048 0.32238099 0.65131062],[0.33333333 0.12222222 0.96551724 0.7956671  0.38762626 0.62286457],[0.0684565  0.20743146 0.         0.43910256 0.         0.27540942],[0.18074074 0.14627706 0.         0.73119096 0.35659787 0.34379845],[0.34502688 0.22727273 0.96551724 0.77137056 0.30646552 0.64166667],[0.33018756 0.05128205 0.96551724 0.75742297 0.27455666 0.62300512]
Lightning7,"[0.78412698 0.73165266 0.62991453 0.69534948 0.73918129 0.62489557
 0.74191919]","[0.72820513 0.78730159 0.61544012 0.51851852 0.77117794 0.69096838
 0.66666667]","[0.34722222 0.47851852 0.48412698 0.74450549 0.80133668 0.
 0.3037653 ]","[0.52654625 0.61956522 0.49893557 0.34478114 0.71549846 0.
 0.72216216]","[0.77117794 0.56296296 0.72222222 0.58775669 0.55521156 0.52910053
 0.7073678 ]","[0.80116959 0.77314815 0.81196581 0.72652219 0.87329435 0.79816207
 0.8610989 ]"
CBF,[0.99944165 0.99779432 0.99721758],[1.         0.9966814  0.99667405],[0.         0.51548084 0.61676968],[0.         0.62950453 0.82254245],[0.99832308 0.99393931 0.99220535],[0.99944165 0.99614325 0.99554255]
Herring,[0.47567288 0.6785069 ],[0.40373912 0.68971426],[0.57777778 0.        ],[0.57777778 0.        ],[0.43804008 0.70293968],[0.4530199  0.72538392]
