,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0.39727311 0.39727311],[0.21819995 0.21819995],[0. 0.],[0. 0.],[0.32931796 0.32931796],[0.28653193 0.28653193]
CinCECGTorso,[0.81164067 0.84016041 0.89393151 0.86262244],[0.79877516 0.82542146 0.90810642 0.87295058],[0.         0.         0.23795855 0.18362206],[0. 0. 0. 0.],[0.78781182 0.8127737  0.89864276 0.86594473],[0.81011203 0.83742624 0.91449647 0.88682255]
DiatomSizeReduction,[0. 0. 0. 0.],[0.98500618 0.96732133 1.         0.8689121 ],[0.         0.7901354  0.95346356 0.88729031],[0.         0.04751978 0.57170917 0.62445144],[0. 0. 0. 0.],[0. 0. 0. 0.]
MiddlePhalanxOutlineAgeGroup,[0.55728494 0.52528518 0.55580313],[0.52089689 0.52876809 0.48633955],[0.54026789 0.         0.5070219 ],[0.54167148 0.         0.55593911],[0.53961879 0.55831081 0.54197875],[0.56729933 0.5414348  0.56663245]
Haptics,[0.54923184 0.68379619 0.60172991 0.70567735 0.50050306],[0.72419503 0.67294012 0.67053606 0.72428572 0.52808755],[0.         0.04322167 0.         0.53853645 0.49377041],[0.33542509 0.22272206 0.         0.55344659 0.55449447],[0.69664106 0.67860832 0.67450366 0.71770428 0.52416112],[0.6705919  0.70942126 0.65395764 0.70710905 0.52955181]
Lightning2,[0.78581269 0.78581269],[0.76657028 0.76657028],[0. 0.],[0. 0.],[0.73964621 0.73964621],[0.73818004 0.73818004]
MedicalImages,"[0.6624722  0.91157044 0.78315909 0.96157068 0.99820486 0.94020719
 0.81418039 0.72908853 0.81594435 0.87735801]","[0.65039191 0.92044378 0.82310791 0.96868886 0.97826183 0.94562353
 0.7682195  0.7387709  0.81802292 0.85765075]","[0.53243024 0.75392051 0.49780485 0.85035343 0.29904354 0.72332915
 0.78046485 0.45581255 0.         0.48724021]","[0.73991313 0.93545161 0.8978773  0.98283857 0.9515543  0.98074853
 0.84576887 0.78098241 0.         0.89561227]","[0.64440828 0.91384166 0.85875649 0.99723692 0.99865486 0.93595343
 0.7163732  0.7692433  0.81769574 0.86682268]","[0.62436899 0.84153273 0.84466116 0.9894695  0.99910349 0.94808958
 0.70688693 0.73903124 0.79978758 0.86647058]"
MiddlePhalanxTW,[0.19310935 0.1091786  0.96453581 0.61548217 0.5396291  0.54126383],[0.28858196 0.         0.96714743 0.64506608 0.59037691 0.48024548],[0.44748428 0.39666449 0.         0.28950604 0.35225696 0.33996544],[0.33018506 0.41754945 0.         0.47970908 0.13415723 0.35023868],[0.36575099 0.         0.98707485 0.6465354  0.5915986  0.4626821 ],[0.28784197 0.10956783 0.97115233 0.65954878 0.52757247 0.379656  ]
InsectEPGRegularTrain,[1. 1. 1.],[1. 1. 1.],[0.         0.43713801 0.66666667],[0.         0.61617085 0.95010463],[1. 1. 1.],[1. 1. 1.]
Mallat,"[0.99983762 0.99983744 0.97082821 1.         0.99886428 1.
 0.99715148 0.89095881]","[0.99853614 0.99894502 0.96321998 0.99823647 0.99829787 1.
 0.98555235 0.87287607]","[0.9749063  0.86982349 0.         0.95605124 0.94646451 0.67713291
 0.8567164  0.92529389]","[0.6315412  0.84633151 0.         0.93192367 0.92522524 0.30188732
 0.94480589 0.91592506]","[0.99967521 0.99837117 0.96768266 0.9804425  0.99886525 0.99869948
 0.99772177 0.8909551 ]","[0.999594   0.99886402 0.97119767 0.99655654 0.99886525 0.99991885
 0.99600992 0.90639154]"
DistalPhalanxTW,[0.59245819 0.23389609 0.98441463 0.85760379 0.48032979 0.76391025],[0.60416822 0.23389433 0.98441463 0.87827011 0.55907306 0.73233508],[0.31321305 0.43926899 0.         0.69224786 0.         0.41703429],[0.3319128  0.59546409 0.         0.8405692  0.55110338 0.47644131],[0.60701647 0.39883143 0.98441463 0.88213362 0.47710338 0.74635519],[0.60181318 0.11603793 0.98441463 0.83804742 0.4514992  0.73715292]
Lightning7,"[0.89775755 0.78431147 0.80633414 0.88971586 0.8006721  0.70268633
 0.78747261]","[0.86124009 0.84862136 0.70822052 0.64614891 0.82029322 0.77355788
 0.74208965]","[0.52853301 0.67844802 0.84444606 0.85850385 0.88009572 0.
 0.55813285]","[0.76593037 0.8181264  0.81633555 0.51147087 0.82515029 0.
 0.8339748 ]","[0.82029322 0.58397031 0.79647199 0.78221066 0.5746534  0.57533938
 0.77642565]","[0.84923103 0.82981828 0.90373615 0.94002568 0.89205152 0.86249369
 0.91373773]"
CBF,[0.99972303 0.99861166 0.99749756],[1.         0.99723165 0.99777708],[0.         0.62054596 0.62388946],[0.         0.62881136 0.84612658],[0.99888677 0.99583774 0.99359886],[0.99972303 0.99750237 0.99610598]
Herring,[0.55811525 0.55811525],[0.50765157 0.50765157],[0. 0.],[0. 0.],[0.53449564 0.53449564],[0.54814379 0.54814379]
HandOutlines,[0.9078563 0.9078563],[0.90748609 0.90748609],[0. 0.],[0. 0.],[0.9151847 0.9151847],[0.90581333 0.90581333]
DistalPhalanxOutlineAgeGroup,[0.69768012 0.77627299 0.90010712],[0.72873784 0.77299064 0.87238214],[0.65758078 0.         0.64732396],[0.36164117 0.         0.83819819],[0.67733471 0.768557   0.88238359],[0.69089854 0.77883268 0.89262209]
OliveOil,[0.7131658  0.56903559 0.85258836 0.79539193],[0.93305658 0.62200847 0.93018331 0.9865306 ],[0.2057378  0.         0.         0.17638342],[0.18781206 0.16984156 0.         0.        ],[0.88311117 0.62200847 0.89249806 0.9865306 ],[0.79281098 0.54005789 0.89249806 0.95133966]
DistalPhalanxOutlineCorrect,[0.77656742 0.77656742],[0.7690594 0.7690594],[0. 0.],[0. 0.],[0.77981446 0.77981446],[0.73140855 0.73140855]
FacesUCR,"[0.97528821 0.99157838 0.9674128  0.98933107 0.92061471 0.98276193
 0.98959535 0.99460351 0.99685133 0.78765689 0.9590497  0.99175795
 0.79624586 0.99459664]","[0.98345194 0.9979328  0.95476297 0.99236156 0.91536199 0.99009478
 0.98864307 1.         0.99157341 0.83468282 0.95697044 0.98973934
 0.84520677 0.99383109]","[0.7235669  0.70650427 0.64008945 0.788784   0.85181864 0.6282131
 0.81066832 0.98259065 0.81699132 0.8605624  0.48570901 0.
 0.41724863 0.96103956]","[0.86132675 0.93027673 0.69372214 0.92830476 0.81891728 0.94687779
 0.48029261 0.96124115 0.97905971 0.84066968 0.90787486 0.
 0.85729373 0.94671503]","[0.97055756 0.99973455 0.95138318 0.99478559 0.90982999 0.99060431
 0.98951086 0.99729885 0.99179812 0.8047751  0.95769439 0.99364886
 0.87096007 0.99442656]","[0.98845287 0.97395146 0.95548077 0.9900222  0.92443862 0.98755172
 0.98955111 0.99721793 0.99174542 0.84656235 0.93484765 0.98866821
 0.84287465 0.992645  ]"
FiftyWords,"[0.97719535 0.93191031 0.85583288 0.87574225 0.94954343 0.90717216
 0.94462611 0.77964253 0.84663407 0.77926681 0.93694472 0.64428236
 0.66814437 0.94245652 0.76104025 0.65221356 0.72468137 0.99777983
 0.96987513 0.29764503 0.51951723 0.99815041 0.52098294 0.53685596
 0.63646924 0.99851398 0.8128754  0.89343283 0.73342494 0.32853285
 1.         0.93577893 0.50799454 0.         0.70658618 0.
 0.99963025 0.70710678 0.49796285 0.         0.14890547 0.57713726
 0.         0.81559288 0.81589411 0.73678114 0.23570226 0.16648179
 0.         0.9618469 ]","[0.9827578  0.91039548 0.83399639 0.90635773 0.931582   0.90957845
 0.95786574 0.85882606 0.89348532 0.77986269 0.91768024 0.61319147
 0.78961187 0.96152018 0.73410513 0.65196796 0.71680789 0.9948123
 0.91151438 0.29764503 0.57606298 0.99889033 0.73244266 0.53666922
 0.49870483 1.         0.93735563 0.85386518 0.57457456 0.3281668
 1.         0.99667548 0.50766216 0.         0.70684648 0.57649754
 1.         0.70684533 0.49740594 0.         0.50896091 0.81589411
 0.         0.73506063 0.81619535 1.         0.47114422 0.49851954
 0.         0.96024817]","[0.50417322 0.         0.5325739  0.67178942 0.49318872 0.37780802
 0.68342946 0.54392527 0.43615922 0.         0.7172327  0.53052995
 0.50439281 0.4698162  0.         0.61589024 0.         0.84923998
 0.96229953 0.50648541 0.13440549 0.81305253 0.86678809 0.61031378
 0.49833425 0.94049265 0.5743618  0.6710763  0.         0.134865
 0.80473785 0.19159665 0.5675285  0.         0.         0.
 0.70396026 0.70553688 0.         0.         0.41904918 0.7309267
 0.         0.65336696 0.         0.8763233  0.         0.75780949
 0.3303635  0.        ]","[0.43509718 0.57420534 0.78054418 0.87652554 0.85469238 0.84422805
 0.85749735 0.79135843 0.77009881 0.83110465 0.91386789 0.60443694
 0.71923699 0.78548445 0.66639948 0.42952928 0.90567434 0.70369968
 0.81125319 0.29664752 0.13517047 0.68773629 0.74112163 0.48741536
 0.56497434 0.7313206  0.8726593  0.81177562 0.57329058 0.46299766
 0.99446221 0.93718961 0.56580546 0.         0.         0.46315937
 0.86217387 0.86538497 0.49870483 0.         0.         0.99333899
 0.         0.7353622  0.57585781 0.57607129 0.70319331 0.16611142
 0.         0.        ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
ECGFiveDays,[0.99028164 0.99028164],[0.98600885 0.98600885],[0. 0.],[0. 0.],[0.99611076 0.99611076],[0.99029344 0.99029344]
FaceFour,[0.96720415 0.96076892 0.95346259 1.        ],[0.96720415 0.96076892 0.95346259 1.        ],[0.         0.7513372  0.48859254 0.        ],[0.         0.56242328 0.5900495  0.        ],[0.96720415 0.96076892 0.95346259 1.        ],[0.96720415 0.96076892 0.95346259 1.        ]
MiddlePhalanxOutlineCorrect,[0.80426595 0.80426595],[0.78459401 0.78459401],[0. 0.],[0. 0.],[0.79669593 0.79669593],[0.80935885 0.80935885]
ECG200,[0.86656238 0.86656238],[0.85063698 0.85063698],[0. 0.],[0. 0.],[0.85614138 0.85614138],[0.86633107 0.86633107]
InsectEPGSmallTrain,[0.         0.21856901 0.        ],[0.12356041 0.         0.65306002],[0.         0.77047134 0.83744918],[0.         0.65570702 1.        ],[0.60808359 0.         0.2862594 ],[0.27475025 0.         0.1996586 ]
InlineSkate,"[0.50901598 0.54349311 0.53827075 0.51933149 0.70626963 0.62622256
 0.64796563]","[0.55851093 0.58454806 0.49555952 0.50263258 0.636461   0.65492451
 0.65638025]","[0.45752826 0.         0.         0.43717345 0.5155354  0.51938286
 0.37081402]","[0.38238096 0.         0.         0.19147794 0.2855692  0.55970807
 0.49629379]","[0.56531794 0.55763097 0.46836415 0.4439008  0.66904092 0.62578169
 0.60602076]","[0.54719667 0.52083036 0.48919978 0.49725303 0.67118919 0.65523176
 0.67388761]"
ChlorineConcentration,[0.79055367 0.87858708 0.89909862],[0.8004774  0.87611678 0.90361311],[0.45778357 0.         0.438274  ],[0.49970716 0.         0.52866266],[0.79879561 0.86836298 0.89487013],[0.78871944 0.8730978  0.88806788]
ECG5000,[0.9482171  0.60806046 0.59048424 0.21316897 0.97891486],[0.95100166 0.59555863 0.57674299 0.21320072 0.97634999],[0.83203121 0.21977745 0.46380986 0.42830182 0.        ],[0.78571697 0.60144728 0.54850296 0.44748007 0.        ],[0.94771801 0.60819177 0.59879618 0.21318485 0.97914109],[0.94800879 0.63308345 0.5969436  0.14211794 0.97818342]
