,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,0.0978649549594064,0.06089158037862733,0.0,0.0,0.13313482953085717,0.023482033036940308
CinCECGTorso,0.712519324435582,0.7133181375535624,0.055976736592261316,0.0,0.6950226742158403,0.7345995536560013
DiatomSizeReduction,0.0,0.9484442395234133,0.6274746965831973,0.18432192834834615,0.0,0.0
MiddlePhalanxOutlineAgeGroup,0.19893520401744014,0.20241351401233762,0.14119249443106474,0.11986872344957435,0.13990337733839422,0.19726345515819022
Haptics,0.3350430416626777,0.400953875809948,0.035916666219546534,0.10156597650211523,0.38987451702628567,0.37730704857341396
Lightning2,0.5743146762458723,0.5495309540590599,0.0,0.0,0.49317367333532874,0.47623884550709983
MedicalImages,0.6556245234245646,0.665853676929153,0.1757007481086742,0.45021046728309705,0.6730647191218689,0.6441291769112567
MiddlePhalanxTW,0.35913974154907585,0.3782821552522539,-0.0021765642649421934,0.07758840922076136,0.39269620369106223,0.3454450084109985
InsectEPGRegularTrain,1.0,1.0,0.36245972456552394,0.4930084471844702,1.0,1.0
Mallat,0.9662648002828845,0.9565212936430396,0.7133369919983624,0.6211767184633854,0.9601035524969711,0.968204728082299
DistalPhalanxTW,0.5860114928971875,0.5815259028030699,0.055490145213446605,0.238964377308544,0.5821457923481316,0.5569458928784771
Lightning7,0.6718597373550536,0.6619551820714887,0.3692037143025379,0.4647241606382672,0.6185378224979612,0.7750564989857565
CBF,0.9972246410061275,0.9966703189920927,0.2931131531877134,0.4894083260189255,0.9922355568050655,0.9955585515167219
Herring,0.16676329225647443,0.11894007548464587,0.0,0.0,0.17012805511955156,0.2169480997611721
HandOutlines,0.8212864743211824,0.8205220453953707,0.0,0.0,0.8409299251613342,0.8157036373891172
DistalPhalanxOutlineAgeGroup,0.5213730111652072,0.5419541514784046,0.2208285134904641,0.18773243353964894,0.493679350169352,0.5117972587133077
OliveOil,0.6013428127497991,0.830731567710259,0.06787252526276033,0.026476715692984588,0.7805572649622933,0.6950109311635996
DistalPhalanxOutlineCorrect,0.5759763531360864,0.5682658686145277,0.0,0.0,0.574171674024973,0.4938701740905949
FacesUCR,0.9424540670141063,0.9466125662083179,0.5060520922675394,0.6358880923130813,0.9455265371712279,0.9433748073650755
FiftyWords,0.6971430717182009,0.7151682741713774,0.23727068739957027,0.4305477818956691,0.0,0.0
ECGFiveDays,0.9807496451616942,0.9724745541068817,0.0,0.0,0.99227249317918,0.9808914464358357
FaceFour,0.9402728458364962,0.9402728458364962,0.33530309629141114,0.27498163739543685,0.9402728458364962,0.9402728458364962
MiddlePhalanxOutlineCorrect,0.6431344562873401,0.6038786497421701,0.0,0.0,0.6178364999786315,0.633586117590062
ECG200,0.7518419236053974,0.7441346540128125,0.0,0.0,0.7436740295739424,0.7587789676404189
InsectEPGSmallTrain,-0.06818549274004906,0.1128215654160305,0.522848718241529,0.5436895868482859,0.26856276697417336,-0.2785556078382125
InlineSkate,0.26865648059516434,0.2676316069237448,0.06055635556081062,0.04778766813570334,0.24482682299901523,0.25990261901033723
ChlorineConcentration,0.7470221315146777,0.7321293494110694,-0.013835033171518914,0.048584941470842156,0.732359225906232,0.731241262172115
ECG5000,0.876558755377094,0.8788248768426915,0.2947694140573686,0.2606714495976698,0.8768869476099711,0.8773958661531965
