,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0.77560084 0.33674339],[0.75517616 0.26923077],[0.         0.25179856],[0.         0.25179856],[0.76275201 0.48148148],[0.75220261 0.27777778]
CinCECGTorso,[0.75355981 0.75768762 0.78599548 0.84212957],[0.76107465 0.75826805 0.7806316  0.84352932],[0.         0.         0.14316239 0.26652481],[0.         0.         0.         0.25362319],[0.76840669 0.73645458 0.78088102 0.80013469],[0.82617139 0.7652143  0.80995876 0.80568978]
DiatomSizeReduction,[0.30065359 0.         0.         0.        ],[0.93835633 0.94754045 1.         1.        ],[0.         0.54521314 0.83013357 1.        ],[0.         0.0125     0.42330383 0.1733049 ],[0. 0. 0. 0.],[0. 0. 0. 0.]
MiddlePhalanxOutlineAgeGroup,[0.62825988 0.39772727 0.44440737],[0.62700157 0.47145417 0.44571429],[0.63108694 0.         0.32340778],[0.62540951 0.         0.32129816],[0.60774766 0.36185611 0.35103525],[0.63297329 0.39209402 0.4206593 ]
Haptics,[0.46417264 0.4237686  0.4522603  0.52099553 0.5454816 ],[0.48731018 0.53128991 0.48744901 0.56156863 0.58871971],[0.         0.11111111 0.         0.26442563 0.21169269],[0.1817503  0.31060606 0.         0.28923501 0.24338406],[0.50488459 0.4782726  0.49623456 0.55308123 0.59206349],[0.51948998 0.46372612 0.45362768 0.56145221 0.54087641]
Lightning2,[0.76168767 0.81336207],[0.78925121 0.76926448],[0.45901639 0.        ],[0.45901639 0.        ],[0.75086957 0.74898104],[0.70046083 0.77474747]
MedicalImages,"[0.7121147  0.76570847 0.62309368 0.84748676 0.87205387 0.81439394
 0.78347339 0.39383131 0.87824102 0.58512847]","[0.78113553 0.80782644 0.68244048 0.90987934 0.97777778 0.80740634
 0.8042735  0.37923474 0.85040703 0.65733812]","[0.09648495 0.58091031 0.2106863  0.53451526 0.03316092 0.23292271
 0.20860806 0.16154011 0.         0.16169316]","[0.427434   0.6961372  0.29143944 0.5884653  0.29432789 0.71331261
 0.67418301 0.22426886 0.         0.51014042]","[0.78194386 0.81466287 0.68417819 0.89901346 0.89072354 0.85440086
 0.92857143 0.3837098  0.85417031 0.68298248]","[0.81922399 0.76252319 0.83375548 0.80649518 0.92374728 0.89740896
 0.92063492 0.3307266  0.83388188 0.68568665]"
MiddlePhalanxTW,[0.05925926 0.05555556 0.95992063 0.44320802 0.39130968 0.28380952],[0.07722833 0.         0.95238095 0.46037037 0.42978283 0.28968254],[0.07328708 0.04511785 0.         0.07631282 0.56956522 0.19266382],[0.05011792 0.04771562 0.         0.30793651 0.13333333 0.12981083],[0.10889356 0.         0.95419309 0.53181818 0.43389716 0.25032938],[0.07425214 0.06666667 0.95275009 0.39850708 0.41006391 0.178233  ]
InsectEPGRegularTrain,[1. 1. 1.],[1. 1. 1.],[0.         0.2312249  0.66666667],[0.         0.2457635  0.98095238],[1. 1. 1.],[1. 1. 1.]
Mallat,"[0.99772469 0.99774775 0.82227937 1.         1.         1.
 1.         0.96567081]","[0.98041641 0.993262   0.7978962  0.99888517 1.         1.
 1.         0.95054387]","[0.75921348 0.91066735 0.         0.67119079 0.9016081  0.80374107
 0.97683905 0.50202673]","[0.99580188 0.88297375 0.         0.53523641 0.75736224 0.66666667
 0.5872457  0.54728158]","[0.99545711 0.97863576 0.82513646 1.         1.         0.98251858
 1.         0.95766959]","[0.9943272  0.99212467 0.84348125 0.99887767 1.         0.99885845
 1.         0.96298594]"
DistalPhalanxTW,[0.31787803 0.22222222 0.93333333 0.78935185 0.48174603 0.59030492],[0.28137255 0.25       0.93333333 0.79583763 0.46336996 0.60596521],[0.04021164 0.2457265  0.         0.36078431 0.         0.48571429],[0.18253968 0.08184356 0.         0.73333333 0.40620491 0.42598221],[0.29795895 0.36111111 0.93333333 0.73291562 0.41002331 0.62601626],[0.28368999 0.06666667 0.93333333 0.79656863 0.35555556 0.58566353]
Lightning7,"[0.73265993 0.89166667 0.66161616 0.59704185 0.85925926 0.89473684
 0.97222222]","[0.67936508 0.88888889 0.87777778 0.42424242 0.92962963 0.75709729
 0.87037037]","[0.41666667 0.47685185 0.34126984 0.73809524 0.80538721 0.
 0.23333333]","[0.43221691 0.54444444 0.38177831 0.5        0.7593985  0.
 0.73538462]","[0.92962963 0.62962963 0.88888889 0.46541219 0.62962963 0.52088662
 0.84444444]","[0.88425926 0.87037037 0.79365079 0.58888889 0.96296296 0.7979119
 0.87728938]"
CBF,[0.99888517 0.99669603 0.99888889],[1.         0.99778878 0.99558132],[0.         0.57976224 0.44943713],[0.         0.46040731 0.94663719],[0.9977666  0.99232411 0.99445921],[0.99888517 0.99449945 0.99776286]
Herring,[0.52037037 0.65467333],[0.49845163 0.6313878 ],[0.40625 0.     ],[0.40625 0.     ],[0.53754941 0.64928159],[0.59814815 0.65453025]
HandOutlines,[0.89500049 0.93058499],[0.89233586 0.93216796],[0.35945946 0.        ],[0.35945946 0.        ],[0.91705106 0.93278263],[0.88833659 0.93030081]
DistalPhalanxOutlineAgeGroup,[0.66954691 0.77652757 0.62070707],[0.66497668 0.80671447 0.67848441],[0.62207968 0.         0.17267724],[0.42110167 0.         0.60573946],[0.65115499 0.77036803 0.58256753],[0.6478023  0.80885122 0.56521739]
OliveOil,[0.62777778 1.         0.76388889 0.84920635],[0.81212121 1.         0.92094017 0.88888889],[0.19047619 0.08888889 0.         0.07246377],[0.13333333 0.09444444 0.         0.05555556],[0.81666667 1.         0.83205128 0.88888889],[0.78939394 0.75       0.83205128 0.88888889]
DistalPhalanxOutlineCorrect,[0.78906924 0.80007137],[0.79528719 0.7906388 ],[0.41666667 0.        ],[0.41666667 0.        ],[0.77604301 0.80638304],[0.74639991 0.7631557 ]
FacesUCR,"[0.88610427 0.99196787 0.84854868 0.99371069 0.95703225 0.87790267
 0.9772181  0.99483204 0.98445543 0.97530864 0.86634921 0.983342
 0.87545455 0.98659933]","[0.87181394 0.97651481 0.90096932 0.96771975 0.98219039 0.87663707
 0.99312428 1.         0.98425132 0.97916667 0.8579103  1.
 0.88257645 0.95779635]","[0.75558746 0.3425441  0.70071637 0.8273419  0.5403079  0.358244
 0.8585576  0.73671243 0.36145873 0.54681729 0.36857062 0.
 0.4170861  0.51211446]","[0.56385175 0.43211438 0.69308444 0.8478902  0.70183803 0.8981315
 0.96514597 0.88046936 0.80513279 0.381092   0.82866766 0.
 0.47662402 0.69084029]","[0.87373984 0.99403574 0.87627039 0.97593901 0.95637339 0.89116128
 0.99586777 0.99741602 0.9921875  0.97944339 0.82244701 0.99885845
 0.89434583 0.98006534]","[0.90718452 0.99408284 0.88445532 0.98578235 0.92707163 0.93218844
 0.98644918 0.99483204 0.98950066 0.94848485 0.87916175 0.93873592
 0.93497475 0.9771521 ]"
