,0
0,73.00028489916207
1,67.72923849375593
2,62.45819208834979
3,57.18714568294365
4,53.447278741070505
5,49.70741179919735
6,45.9675448573242
7,43.06667869023948
8,40.16581252315475
9,37.26494635607002
10,34.89476611774861
11,32.52458587942719
12,30.154405641105782
13,28.15044680335143
14,26.146487965597075
15,24.142529127842717
16,22.406621023723922
17,20.67071291960513
18,18.934804815486334
19,17.403625351953348
20,15.872445888420362
21,14.341266424887376
22,12.971579721335633
23,11.601893017783894
24,10.232206314232151
25,8.993173976775928
26,7.754141639319706
27,6.515109301863483
28,5.383961400998295
29,4.252813500133106
30,3.1216655992679176
31,2.081110399511945
32,1.0405551997559725
33,0.0
